,table_names,table_vers,created_dates,updated_dates,descriptions,comments
522,DB-STATISTICS,1,1981-08-25,2010-07-16,,
525,DB_STATISTICS,1,1981-08-25,2010-07-16,WORK RECORD FOR DBMG06 MAP,
532,DC-AID-CONDITION-NAMES,1,1981-08-25,2010-07-16,,
1118,MRB-,1,1981-08-25,2010-07-16,,"THIS RECORD IS REQUIRED FOR MAPPING FUNCTIONS, DO NOT DELETE"
2020,SSCTRL,1,1981-08-25,1994-10-22,,
2021,SSCTRL,2,1981-08-25,2010-07-16,,
2066,SUBSCHEMA-CTRL,1,1981-08-25,2010-07-16,SUBSYSTEM GROUP RECORD,
2068,SUBSCHEMA-CTRL,3,1981-08-25,2010-07-16,,
2069,SUBSCHEMA-CTRL,4,1981-08-25,2010-07-16,,
2075,SUBSCHEMA_CTRL,1,1981-08-25,2010-07-16,,
2076,SUBSCHEMA_CTRL,2,1981-08-25,2010-07-16,,
2077,SUBSCHEMA_CTRL,3,1981-08-25,2010-07-16,,
71,ADPT1E-02,1,1981-10-24,1982-11-15,REISSUE LOAN CHECK,
75,ADPT1G-12,1,1981-10-24,1993-12-14,CR-SL OF ACQUIRED REAL ESTATE/NAME-ADDR,
76,ADPT1G-22,1,1981-10-24,1993-12-14,CR-CL OF ACQUIRED REAL ESTATE/NAME-ADDDR,
77,ADPT1G-32,1,1981-10-24,1993-12-14,CR-SL OF ACQUIRED REAL ESTATE/NAME-ADDR,
78,ADPT1I-02,1,1981-10-24,1981-10-26,JUDGMENT COST,
79,ADPT1J-12,1,1981-10-24,1981-10-29,TOTAL REFUND CARD OTC,
80,ADPT1J-22,1,1981-10-24,1981-10-30,TOTAL REFUND CARD IRE AND DRE,
81,ADPT1K-02,1,1981-10-24,1983-05-13,NON-RECOV COST INCIDENT TO LOAN/ACQUIRED,
82,ADPT1O-12,1,1981-10-24,,SCS ADVANCES,
83,ADPT1O-22,1,1981-10-24,,SCS ADVANCES,
84,ADPT1O-32,1,1981-10-24,,SCS ADVANCES,
85,ADPT1O-33,1,1981-10-24,1990-09-26,SCS ADVANCES,
86,ADPT1P-02,1,1981-10-24,,INSURANCE CHARGE,
87,ADPT1R-02,1,1981-10-24,,DEFAULT CHARGE,
88,ADPT1V-02,1,1981-10-24,,CAPITALIZED INTEREST ADJUSTMENT,
89,ADPT1Y-02,1,1981-10-24,1981-10-30,LOAN CANCELLATION-OBLIGATION AND VOUCHER,
92,ADPT2A-32,1,1981-10-26,1981-11-23,SCHEDULE OF REMITTANCES,
90,ADPT2A-A2,1,1981-10-26,1981-10-27,CASH COLLECTION (ASSOCIATIONS),
93,ADPT2C-02,1,1981-10-26,1981-10-27,REAPPLICATIONS,
94,ADPT2F-02,1,1981-10-26,1981-10-28,,
95,ADPT2R-02,1,1981-10-26,1988-03-15,CASH COLLECTION REFUND OF EXCESS,THIS TRANSACTION IS USED TO SEND A REFUND CHECK TO A BORROWER VIA THE COUNTY OFFICE.
96,ADPT2X-02,1,1981-10-26,1981-12-19,CASH COLLECTIONS-DIRECT PAYMENT,
97,ADPT2Z-02,1,1981-10-26,1981-10-27,REAPPLICATION,
115,ADPT4F-02,1,1981-10-26,,LOAN NUMBER CHANGE CARD,
116,ADPT4G-02,1,1981-10-26,1995-08-23,ASSUMPTION AGREEMENT(EXISTING TERMS),
117,ADPT4G-13,1,1981-10-26,1981-11-03,ASSUMPTION AGREEMENT(EXISTING TERMS),
118,ADPT4G-23,1,1981-10-26,1981-10-26,ASSUMPTION AGREEMENT(EXISTING TERMS),
119,ADPT4G-33,1,1981-10-26,,ASSUMPTION AGREEMENT(EXISTING TERMS),
120,ADPT4J-02,1,1981-10-26,2000-06-08,FOCAL ADJUSTMENT,
121,ADPT4M-02,1,1981-10-26,1981-11-18,ACCELERATION OR DECELERATION,
122,ADPT4N-02,1,1981-10-26,1981-11-09,,
123,ADPT4P-02,1,1981-10-26,1981-11-09,LOAD BOND INSTALLMENTS.,
150,ADPT4Q-02,1,1981-10-26,1990-09-27,LOAN BOND INSTALLMENTS-DETAIL RECORD,
155,ADPT4S-02,1,1981-10-26,1991-08-09,ESTABLISH OR REMOVE NON-CASH FIELDS,
160,ADPT4U-07,1,1981-10-26,1995-08-16,REESTABLISH LOAN ACCT INDICATIVE CD,
161,ADPT4U-13,1,1981-10-26,1995-08-14,RE-ESTABLISH CLOSED LOAN ACCOUNT,
163,ADPT4U-23,1,1981-10-26,,RE-ESTABLISH CLOSED LOAN ACCOUNT,
166,ADPT4W-02,1,1981-10-26,1981-11-18,REDUCED INTEREST RATE DURING CONSTR,
99,ADPT3B-02,1,1981-10-28,,NON-CASH CREDITS - JUDGMENTS,
100,ADPT3F-02,1,1981-10-28,1992-10-22,EMPLOYEE ACCOUNT MONETARY CARD,
101,ADPT3F-03,1,1981-10-28,,EMPLOYEE ACCOUNT NAME AND/OR ADD CARD,
102,ADPT3F-13,1,1981-10-28,,EMPLOYEE ACCOUNT NAME AND/OR ADD CARD,
106,ADPT3G-02,1,1981-10-28,2000-05-05,NON-CASH CREDITS - EMPLOYEE ACCOUNT,
109,ADPT3M-02,1,1981-10-28,,NON-CASH CR-DISASTER-CR-ON JOURNAL VOUCH,
110,ADPT3N-02,1,1981-10-28,1981-11-09,NON-CASH CREDIT (ASSUMPTION AGREEMENT),
111,ADPT3P-02,1,1981-10-28,1981-11-03,3RD PARTY JUDGMENT,
112,ADPT3Z-02,1,1981-10-28,1981-11-09,INTEREST CANCELLATION ON MORATORIUM ACCT,
167,ADPT5C-02,1,1981-10-28,,CHANGE IN KIND OF ACCOUNT CODE,
103,ADPT3F-43,1,1981-11-18,1995-08-18,EMPLOYEE ACCOUNT NAME AND/OR ADD CARD 1,
104,ADPT3F-53,1,1981-11-18,1981-11-18,EMPLOYEE ACCOUNT NAME AND/OR ADD CARD 2,
105,ADPT3F-63,1,1981-11-18,1981-11-18,EMPLOYEE ACCOUNT NAME AND/OR ADD CARD 3,
23,ADPS-CNTRL-RCRD,1,1981-11-20,1991-09-23,DESCREPENCY CONTROL RECORD,
24,ADPS-DETAIL-COMMON-DATA,1,1981-11-20,1982-11-04,USED TO MAP EXTRANEOUS TRANS DATA,
