ln_nbr,fd_cde,kind_cde_ln,int_rate_note,int_rate_note_1st,pymt_typ_cde,dir_pymt_cde,dte_amortn_efctv,dstr_dclrd_cde,mrg_cntrl,docmt_typ_cde,dte_oblgn_ln,asstnc_typ_cde,ln_amt_oblgn,begng_frmr_rnchr_cde,colltl_cde,cpn_procg_dte,case_nbr_chng_cde,pymt_asstnc_meth_cde,int_rate_prev,int_rate_prev_redfnd
484530,8,8,8.5791,11.0049,9,1,2016-06-23,1,34,E,2012-03-05,104,42351.1,O,2,2018-05-06,0,1,14.3501,7.1663
569782,1,2,3.9361,12.0286,4,6,2014-03-13,6,61,A,2012-04-08,481,419295.99,O,6,2020-04-07,7,6,11.5363,5.9765
448810,8,2,2.8521,17.9071,4,1,2015-09-20,8,85,A,2021-09-25,937,461297.5,F,1,2018-09-30,5,0,12.3916,6.1094
495997,7,4,9.9449,13.1911,8,6,2019-08-06,2,69,C,2019-07-31,913,211776.02,R,5,2016-02-23,4,6,13.8512,8.3476
832038,7,9,10.2126,15.3025,7,0,2017-12-26,2,90,F,2011-04-08,725,97366.81,W,4,2014-08-23,6,3,13.0693,14.4746
453211,0,0,14.8196,17.2996,2,4,2017-09-05,8,30,A,2015-10-04,560,220578.52,O,5,2020-02-11,8,2,5.0016,8.533
643661,9,7,6.8306,14.0208,9,3,2012-02-26,9,85,C,2019-01-16,210,434028.98,O,8,2019-09-20,2,3,7.6321,17.8058
448302,2,3,6.7777,14.375,4,1,2016-02-23,9,50,B,2013-12-14,884,128275.79,O,7,2013-04-16,7,1,8.4561,16.2357
363809,3,9,3.718,14.8847,1,4,2015-08-29,6,73,E,2020-11-15,369,379748.29,F,2,2017-08-21,7,8,5.9415,5.8436
530822,8,8,13.7786,10.8527,4,4,2020-12-20,3,85,B,2011-10-13,580,408698.94,R,6,2018-03-07,5,3,13.7922,10.8551
833468,4,8,1.0386,13.534,7,5,2013-07-20,6,41,B,2012-02-10,110,198813.94,R,4,2021-03-15,0,1,5.416,14.7607
346934,9,6,5.8888,17.0417,7,6,2013-03-10,7,86,E,2015-10-26,930,419137.3,F,3,2012-02-05,3,7,8.7346,9.5901
132780,8,7,12.6861,17.5063,7,1,2012-04-11,1,18,B,2013-09-10,670,429881.85,W,8,2021-10-26,1,6,13.8222,12.2818
604368,6,7,7.0033,6.3075,1,1,2013-07-10,2,55,E,2012-10-15,246,470513.79,O,4,2021-12-12,5,5,14.065,10.1508
262917,4,4,4.3646,8.7135,3,2,2012-02-27,1,85,D,2016-02-16,202,195518.13,W,1,2012-09-04,6,5,11.0876,14.6027
490449,6,4,9.4104,16.9893,6,3,2016-06-21,2,80,C,2019-07-02,335,207498.16,W,7,2019-01-25,4,2,8.3226,11.7131
475049,9,7,4.4466,6.9095,5,7,2011-08-22,6,57,E,2021-09-05,623,118876.58,F,2,2013-12-26,3,4,11.8908,9.1634
257485,3,3,6.4759,16.2735,7,6,2016-05-14,5,60,G,2011-05-29,640,431695.83,O,9,2021-06-13,0,5,14.6945,8.6974
744485,5,5,10.6347,17.3266,6,9,2012-09-16,4,62,F,2011-04-15,292,380155.06,F,5,2021-06-04,9,3,8.8469,18.7473
701074,9,7,12.4125,15.8766,5,3,2014-11-19,4,20,A,2013-11-20,269,155781.71,O,9,2015-12-08,1,4,10.3613,10.0581
412077,7,6,3.4023,16.211,6,6,2015-11-24,9,81,E,2015-11-06,891,62828.13,F,9,2012-07-08,0,7,6.0771,5.1142
655673,9,7,5.2194,12.7113,9,0,2015-09-20,1,49,F,2014-09-24,163,205763.59,R,5,2022-03-22,3,9,9.7956,10.6133
698451,5,2,11.0497,11.7416,4,3,2013-07-27,8,25,G,2020-03-20,359,310245.54,W,1,2021-04-24,0,1,14.217,9.3034
493726,4,7,8.3053,12.1979,2,1,2017-04-23,5,66,G,2011-11-21,826,150683.18,F,6,2020-01-04,5,8,9.1591,7.4167
109820,4,9,9.6489,12.4157,2,0,2015-12-09,3,31,D,2020-12-10,454,331040.33,R,5,2022-10-10,1,0,7.0196,7.5299
375791,8,3,10.3577,11.9268,8,1,2019-10-20,4,51,B,2014-09-16,392,10215.28,O,6,2016-12-08,5,4,12.5471,5.6305
579657,7,2,14.7104,5.5481,3,6,2018-01-07,7,53,G,2011-11-07,158,221101.08,R,4,2020-09-07,5,9,5.0281,10.2896
797019,1,9,3.2514,17.7621,1,1,2010-02-27,4,51,D,2011-05-19,867,495615.11,R,1,2018-04-18,6,5,13.7952,9.4247
548222,8,6,3.7262,17.5968,3,7,2013-11-03,1,13,G,2018-04-02,421,165415.18,O,7,2012-09-19,2,4,5.3134,13.6188
664538,6,7,14.6109,13.7347,8,8,2010-06-18,4,58,F,2016-12-13,144,277256.64,O,5,2015-11-24,9,0,7.9719,10.6237
183263,7,7,9.1813,5.0547,1,1,2013-05-03,2,90,D,2013-12-08,185,257042.53,O,1,2020-02-06,3,0,6.8705,6.3864
223317,7,3,11.1628,5.3683,6,5,2011-11-29,7,48,E,2014-11-08,947,428775.95,O,5,2021-05-22,5,7,12.4652,16.6782
553770,8,5,7.0835,6.8412,8,6,2013-11-02,8,30,B,2016-04-21,786,143662.25,R,3,2020-06-23,0,0,12.8802,6.0649
541919,5,4,12.4153,17.5505,5,7,2012-02-07,1,18,A,2013-07-16,273,403225.58,W,3,2014-07-27,2,8,12.4438,15.8383
525128,1,6,7.4136,14.5501,5,5,2015-02-07,5,56,B,2011-06-14,837,44599.47,W,9,2016-11-13,7,7,7.0186,5.2175
124828,5,9,5.9021,6.3959,6,3,2012-10-24,6,46,E,2013-03-03,300,245239.79,O,5,2021-09-10,3,3,14.3223,17.2852
791928,2,4,8.6546,12.5733,6,5,2014-06-17,4,38,B,2019-07-04,858,183850.29,O,3,2021-09-19,1,7,5.2699,6.518
138152,6,4,13.667,15.304,5,4,2017-08-24,1,38,A,2019-07-29,484,374559.49,F,7,2015-06-03,0,9,10.0607,9.9409
491800,0,2,13.613,7.925,2,8,2020-05-15,8,70,D,2013-08-30,210,144951.37,O,5,2017-12-15,9,1,8.8744,10.8545
658558,1,7,6.4129,16.8204,5,5,2017-10-20,4,15,D,2015-02-12,394,119614.51,W,6,2012-01-10,1,3,13.0447,17.3753
