LN-NBR,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,KIND-CDE-LN,INT-RATE-NOTE,INT-RATE-NOTE-1ST,PYMT-TYP-CDE,DIR-PYMT-CDE,DTE-AMORTN-EFCTV,DSTR-TYP-CDE,FY-DSTR-DCLRD,DSTR-DCLRD-NBR,MRG-CNTRL,DOCMT-TYP-CDE,DTE-OBLGN-LN,ASSTNC-TYP-CDE,LN-AMT-OBLGN,BEGNG-FRMR-RNCHR-CDE,COLLTL-CDE,CPN-PROCG-DTE,CASE-NBR-CHNG-CDE,PYMT-ASSTNC-METH-CDE,INT-RATE-PREV,INT-RATE-PREV-REDFND
34,61,4,8,67,1.2559,0.012559,8,3,30414,2,9,853,8,B,82714,959,-792441.73,F,2,101918,8,7,3.6558,0.036558
10,81,9,7,63,9.9637,0.099637,3,0,111315,1,2,686,7,E,32614,256,2964.69,R,6,91422,6,2,5.8001,0.058001
80,81,9,6,60,6.5256,0.065256,3,9,123015,9,1,947,74,C,61517,135,8055.27,R,5,92121,8,4,1.5195,0.015195
75,61,5,3,60,9.2843,0.092843,8,3,61619,2,0,511,95,A,111117,610,-38535.39,W,4,101221,4,6,5.9664,0.059664
25,61,5,4,66,5.784,0.05784,4,5,101419,6,1,911,69,F,80615,623,72910.26,W,5,120819,0,7,1.5115,0.015115
64,61,5,6,61,2.8444,0.028444,0,8,92016,7,4,416,12,E,11021,788,-889217.66,O,2,31721,6,1,9.4778,0.094778
7,61,6,3,63,4.356,0.04356,0,6,22521,1,5,836,62,E,72020,43,7545.76,O,3,11120,6,9,1.984,0.01984
68,41,1,6,60,5.8603,0.058603,2,9,81923,0,3,161,50,D,91818,716,-586.62,F,5,72320,0,7,7.6316,0.076316
76,61,6,4,62,7.5161,0.075161,5,4,121913,4,5,502,88,F,100516,582,71163.79,W,0,33116,5,4,8.7626,0.087626
49,41,2,3,60,1.108,0.01108,5,2,91018,7,8,734,31,D,22019,171,45135.89,O,0,121320,7,1,9.1221,0.091221
58,61,7,2,67,7.2892,0.072892,5,8,51722,0,0,602,38,A,21815,220,-9549.22,W,8,81116,3,6,9.4544,0.094544
89,82,2,4,64,4.2606,0.042606,7,4,82620,9,8,273,71,D,62019,538,-8894.32,F,4,22013,8,9,9.517,0.09517
73,61,7,9,65,2.9786,0.029786,9,5,20520,1,9,987,65,G,101716,825,748.51,O,2,112515,3,3,9.7153,0.097153
59,41,3,1,60,5.8559,0.058559,3,7,40916,9,9,379,37,B,43018,558,-67478.49,W,8,71220,7,9,6.4297,0.064297
47,41,3,5,63,7.659,0.07659,7,1,70215,0,2,836,86,F,82620,241,798456.1,W,0,52919,5,3,6.495,0.06495
64,82,3,1,67,6.34,0.0634,5,3,21921,5,8,468,45,D,122719,629,6528.64,R,5,31323,7,8,7.4378,0.074378
68,41,3,8,61,6.6421,0.066421,8,1,41918,6,4,225,6,E,102420,32,-20808.34,O,9,60813,8,4,4.4656,0.044656
47,41,3,9,67,4.6416,0.046416,5,5,52715,0,3,312,67,F,41117,527,-60864.49,O,3,112013,0,0,9.3235,0.093235
28,61,9,3,61,3.3813,0.033813,9,8,111422,8,9,71,91,F,51919,247,620196.88,R,5,100218,9,8,5.8398,0.058398
20,41,4,6,63,4.6093,0.046093,0,5,21423,4,3,691,88,B,80223,486,-608.2,R,4,22220,0,0,7.3308,0.073308
16,82,4,5,67,3.3083,0.033083,7,6,21419,8,9,862,37,G,20721,300,293861.44,W,0,10421,6,4,1.403,0.01403
18,82,4,7,60,7.9579,0.079579,9,1,112420,8,6,582,82,D,82616,586,99060.31,W,9,31718,5,8,2.4464,0.024464
30,41,5,3,61,2.768,0.02768,1,1,122723,1,2,510,31,D,90122,817,985.44,F,8,123115,4,1,2.9789,0.029789
40,82,5,7,61,9.4926,0.094926,8,4,102816,2,8,201,67,A,10219,782,813.41,O,3,62723,1,9,9.299,0.09299
47,41,6,1,66,2.6415,0.026415,7,4,72822,9,1,700,43,E,60417,20,-1229.66,W,2,112717,6,8,7.2535,0.072535
26,82,6,4,65,7.478,0.07478,0,4,62718,0,6,762,67,D,83015,445,8601.28,R,4,31819,1,9,5.1104,0.051104
24,21,2,1,68,3.8039,0.038039,5,3,112117,2,4,149,25,C,82117,350,-3349.14,R,4,101014,9,4,6.4305,0.064305
52,62,1,9,66,3.689,0.03689,5,8,72113,4,0,278,53,F,40314,223,-632.84,W,3,72023,9,0,6.842,0.06842
23,21,2,5,61,2.2088,0.022088,7,7,40119,0,4,795,86,F,42922,642,-5262.76,F,0,42418,4,8,5.7611,0.057611
40,41,7,4,60,9.8099,0.098099,9,3,40614,9,2,95,78,G,92817,972,-884.86,W,2,82413,0,4,7.479,0.07479
66,62,2,1,61,3.9216,0.039216,8,6,20816,0,6,75,62,F,80515,358,7669.96,R,8,12616,2,5,5.1056,0.051056
69,62,2,2,63,6.695,0.06695,7,8,51119,3,6,389,37,C,33022,959,63100.73,F,2,110915,1,1,6.5141,0.065141
96,41,7,7,60,9.9297,0.099297,4,9,11323,6,8,177,79,C,101723,166,-6300.9,F,0,71513,8,3,8.3173,0.083173
83,62,2,5,61,7.5424,0.075424,4,2,12715,3,1,203,34,F,31121,377,78165.41,O,0,82123,3,6,5.2736,0.052736
66,21,3,1,63,8.3809,0.083809,5,6,52321,8,7,154,58,A,92317,111,472191.44,O,5,10616,9,4,3.5953,0.035953
82,82,7,5,64,2.6665,0.026665,8,2,10921,5,7,548,23,F,32315,900,-733916.28,F,9,51017,1,9,9.5735,0.095735
24,21,2,6,60,1.3352,0.013352,3,1,110123,2,5,344,16,G,32520,923,13471.52,O,7,61616,9,0,8.7463,0.087463
61,82,7,8,60,8.2047,0.082047,4,3,111020,6,0,712,37,D,21616,937,-79112.74,W,0,60919,3,4,4.6677,0.046677
18,41,8,3,63,3.951,0.03951,7,1,32223,8,5,825,88,G,32520,38,-4456.63,F,6,102618,4,6,7.3261,0.073261
69,21,3,5,68,8.4141,0.084141,5,0,21020,7,0,344,77,C,41013,857,15392.37,W,3,12620,3,4,1.2156,0.012156
71,41,8,5,64,3.6805,0.036805,3,4,111215,2,6,242,52,D,41514,980,-92552.12,W,4,61619,1,6,5.1036,0.051036
29,82,7,6,67,2.1044,0.021044,5,1,30614,8,6,350,22,E,42713,372,-9267.25,F,7,11114,6,2,7.4161,0.074161
92,62,3,5,68,3.2403,0.032403,6,8,101418,8,8,946,44,E,10721,163,87613.99,F,0,12122,9,7,6.3255,0.063255
42,41,8,8,65,6.575,0.06575,9,2,52614,1,9,7,84,F,71315,144,817.88,W,5,40913,5,4,8.437,0.08437
