BOND-CDE,INT-UNPD-DUE-BOND-ACCTS,PRIN-UNPD-DUE-BOND-ACCTS,INT-NEXT-INSTLMT-BOND-ACCTS,PRIN-NEXT-INSTLMT-BOND-ACCTS,INT-ON-DELQ-PRIN
7,1479.61,12330.05,123.3,1027.5,482.97
 ,5018.26,41818.8,418.19,3484.9,37.38
6,10147.9,84565.86,845.66,7047.16,484.42
2,7230.18,60251.52,602.52,5020.96,71.18
6,4102.78,34189.85,341.9,2849.15,859.74
4,1035.41,8628.39,86.28,719.03,76.45
9,11913.7,99280.82,992.81,8273.4,658.1
3,5268.13,43901.11,439.01,3658.43,92.62
9,7649.4,63744.99,637.45,5312.08,897.84
9,4613.48,38445.69,384.46,3203.81,441.47
7,1327.25,11060.41,110.6,921.7,1.81
8,11165.25,93043.75,930.44,7753.65,211.89
4,6110.58,50921.49,509.21,4243.46,490.21
3,10526.3,87719.16,877.19,7309.93,616.68
2,7147.3,59560.82,595.61,4963.4,27.92
2,457.22,3810.13,38.1,317.51,876.06
5,1739.55,14496.22,144.96,1208.02,205.04
3,2937.6,24480.01,244.8,2040,185.72
7,7624.32,63536.03,635.36,5294.67,294.25
3,1200.5,10004.16,100.04,833.68,154.95
6,3708.97,30908.06,309.08,2575.67,640.11
7,4789.28,39910.7,399.11,3325.89,689.74
0,990.52,8254.31,82.54,687.86,866.58
0,1156.73,9639.42,96.39,803.29,115.41
3,1052.48,8770.66,87.71,730.89,731.29
1,3627.67,30230.56,302.31,2519.21,31.88
6,7765.32,64710.97,647.11,5392.58,905.72
8,11747.27,97893.91,978.94,8157.83,602.8
1,1489.03,12408.55,124.09,1034.05,18.47
1,9320.22,77668.48,776.68,6472.37,573.53
3,466.15,3884.57,38.85,323.71,329.52
0,8018.55,66821.25,668.21,5568.44,51.47
9,10269.87,85582.27,855.82,7131.86,963.71
6,4110.97,34258.1,342.58,2854.84,760.46
9,453.38,3778.2,37.78,314.85,915.79
9,6893.61,57446.75,574.47,4787.23,827.87
0,8325.29,69377.43,693.77,5781.45,874.93
9,10903.76,90864.68,908.65,7572.06,809.16
7,11004.86,91707.19,917.07,7642.27,333.43
9,6773.74,56447.87,564.48,4703.99,58.95
9,7384.21,61535.07,615.35,5127.92,444
6,4122.65,34355.4,343.55,2862.95,573.61
4,10668.24,88901.98,889.02,7408.5,231.68
8,10334.46,86120.53,861.21,7176.71,68.47
2,8550.95,71257.88,712.58,5938.16,242.02
3,6555.75,54631.24,546.31,4552.6,322.39
8,6303.47,52528.88,525.29,4377.41,271.78
7,7654.64,63788.64,637.89,5315.72,473.87
0,11631.03,96925.28,969.25,8077.11,959.71
3,7338.18,61151.46,611.51,5095.96,610.45
1,4887.08,40725.7,407.26,3393.81,725.34
7,1575.79,13131.59,131.32,1094.3,991.97
4,4561.23,38010.27,380.1,3167.52,273.76
7,2190.32,18252.68,182.53,1521.06,677.4
3,416.49,3470.71,34.71,289.23,836.72
0,734.03,6116.89,61.17,509.74,616.78
3,3736.32,31135.96,311.36,2594.66,806.48
7,11529.05,96075.44,960.75,8006.29,927.17
5,8593.08,71609.04,716.09,5967.42,865.83
