ACCT-NBR,MINOR-CDE,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,TRNSCTN-CDE,DTE-END-OF-MO,PURP-CDE-1,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,MO-ACTV,RGSTR-TYP-CDE,TIME-STNDS-DATA,USER-INITS
7000,213,61,4,8,581,43096,8,98330.92,59.32,46,22,1100,QKV
7001,220,81,9,7,641,93001,3,13117.2,450.37,62,22,1930,BVI
7002,200,81,9,6,385,22807,8,2227.34,-3713.28,80,22,300,SGH
7003,209,61,5,3,882,123107,3,-6627.51,38344.94,97,20,1530,OPM
7004,218,61,5,4,771,123190,6,16.97,-94.77,88,23,900,ULX
7005,204,61,5,6,489,43095,6,3865.98,472.19,91,22,200,CQS
7006,205,61,6,3,977,113001,5,4561.9,358.99,65,21,2100,QMT
7007,201,41,1,6,394,103112,3,-6476.61,24501.91,30,21,1900,BLD
7008,210,61,6,4,881,22821,4,68.7,37663.72,56,20,2300,KDZ
7009,213,41,2,3,378,83111,5,62210.96,-514.97,19,22,330,UYT
7010,209,61,7,2,984,73100,2,6994.23,563.47,37,23,1530,BKS
7011,217,82,2,4,863,43002,1,825.45,-522.58,11,22,930,SPF
7012,204,61,7,9,601,123108,1,-72.94,-667.18,36,23,430,SQJ
7013,210,41,3,1,921,73102,1,-47.17,591.97,13,21,2330,GTK
7014,202,41,3,5,955,33195,5,85.12,6573.85,17,22,1900,NCD
7015,215,82,3,1,771,53108,3,15016.1,14.95,30,22,300,DFK
7016,206,41,3,8,974,123116,5,88.25,51567.72,34,20,630,FYV
7017,214,41,3,9,841,103120,7,37810.51,12396.83,86,22,1600,MGJ
7018,210,61,9,3,517,53103,5,30.44,253.7,50,23,1630,PXU
7019,200,41,4,6,105,123194,6,-80.75,7841.1,5,21,2230,RUV
7020,201,82,4,5,466,123111,6,-2351.87,25.75,89,21,1500,CQM
7021,211,82,4,7,110,73105,1,66653.72,-71403.46,25,20,1230,KCF
7022,209,41,5,3,756,83192,6,-30.44,78855.75,75,22,1500,LRT
7023,209,82,5,7,146,33196,6,-811.33,36,66,21,1400,QGB
7024,218,41,6,1,252,43019,8,8182.2,590.38,98,22,1300,NZN
7025,202,82,6,4,916,22912,8,46.96,58540.44,51,21,1230,PSQ
7026,209,21,2,1,520,33121,7,7414.23,97469.82,2,20,630,ULA
7027,211,62,1,9,330,33193,6,588.85,6648.44,4,21,1300,PIU
7028,202,21,2,5,395,93014,5,65.42,-82305.21,93,20,1400,KJW
7029,206,41,7,4,925,123102,7,4564.7,67689.24,85,23,230,SGP
7030,211,62,2,1,815,53116,7,68848.38,46.44,62,20,2330,BNF
7031,201,62,2,2,767,63021,3,49214.3,276.55,8,20,800,BIE
7032,207,41,7,7,769,63014,7,-253.75,323.36,4,20,1030,DOK
7033,218,62,2,5,629,93009,6,976.34,26549.68,71,21,330,VGV
7034,213,21,3,1,689,103116,9,5693.61,-3231.3,13,23,1630,GEE
7035,211,82,7,5,382,43007,6,69.25,8103.47,61,23,100,UMN
7036,210,21,2,6,351,22811,8,69155.82,6740.51,92,21,1200,HHL
7037,207,82,7,8,243,83115,6,8737.25,247.77,17,21,2000,IKS
7038,220,41,8,3,107,123101,7,-38.9,-82900.79,99,20,230,SFS
7039,220,21,3,5,480,83118,9,806.9,-64370.21,10,22,1130,CEE
7040,218,41,8,5,386,113099,6,67507.74,465.84,65,21,500,OOO
7041,212,82,7,6,936,103100,8,10.83,10805.52,92,23,2200,NXT
7042,218,62,3,5,647,103196,5,-65914.63,-8040.32,44,21,900,YPE
7043,205,41,8,8,763,33100,8,3357.88,985.88,77,23,300,NCR
