ACCT-NBRGL,ACCT-NBR-SUB,ACCT-NBRDA,ACCT-TITLE,BAL-CDE,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,DTE-LST-RGSTR-ACCT
7000,703,446,Dry Creek Pumpkin Patch,3,81,9,7,11413
7001,6865,8197,Blue Lake Mushroom Farm,1,77,3,5,21721
7002,4557,2618,Ramaya's Horses,4,61,5,1,11518
7003,9954,1314,Los Angeles Egg Farm,2,41,1,9,51915
7004,6562,4877,Abdalah's Chickens,1,77,3,9,122915
7005,3742,226,Ross Lake Homestead,2,82,1,9,21513
7006,1035,6514,Blooming Family Vineyards,3,61,7,1,61920
7007,3588,1663,Deer Creek Homestead,1,41,2,7,112815
7008,1195,2282,Black Mountain Hills,4,82,2,5,111313
7009,3928,5931,Sparkle Pond Sunflower Farms,4,61,8,1,71820
7010,2024,2489,Serene Sunflower Farms,2,41,3,4,31014
7011,1932,9484,Blissful Herb Garden,4,61,8,5,71821
7012,1348,5260,Webb Family Goats,4,61,8,7,72318
7013,9708,3583,Turtle Pond Herb Farm,4,82,3,6,111621
7014,9262,5914,Coleman Lavender Fields,1,82,3,7,32717
7015,2655,628,Arizona Sunflower Farms,1,61,9,1,81115
7016,2,4236,Francesco's Lavender Fields,4,41,4,4,50813
7017,420,6551,Jimmy's Pumpkin Patch,1,41,4,5,92920
7018,2614,8308,Sparkle Pond Pumpkin Patch,1,41,4,6,21519
7019,2083,2844,Rustic Fields,2,41,4,3,81220
7020,4148,6812,Sunny Cow Farm,3,61,9,6,70918
7021,4058,22,Alaska Fields,4,41,4,9,120518
7022,4211,28,Kathy's Honeybees,2,41,5,6,120219
7023,7131,7439,Salt Lake Egg Farm,4,62,1,3,42614
7024,29,6536,Alaska Avocado Farm,2,82,6,5,21220
7025,4130,5364,Black Mountain Farm,2,62,1,7,60118
7026,6294,3245,Sharon's Horses,3,62,1,9,41813
7027,1051,6334,Maribel's Lavender Fields,4,41,7,2,110416
7028,803,8901,Kathy's Ranch,3,41,7,3,80922
7029,7384,9060,Maribel's Vineyards,4,41,7,7,52817
7030,3697,424,Sparkle Pond Horse Ranch,1,62,3,1,42814
7031,4609,1828,Kristen's Acres,2,62,3,2,50514
7032,4124,2715,Timmy's Acres,1,41,8,5,101415
7033,2644,216,Coleman Farm,3,62,3,4,12215
7034,481,6114,Cloudy Plum Orchard,1,21,3,9,120220
7035,6973,8797,Smucker's Vegetable Farm,1,41,8,7,122314
7036,2691,4651,Webb Family Vegetable Farm,1,21,3,8,63021
7037,7880,8870,Pringle Family Avocado Farm,3,21,4,2,92922
7038,8171,263,Alberto's Horses,3,21,4,3,42622
7039,3295,8462,Middle Creek Lavender Fields,3,21,4,4,111616
7040,3604,7958,Blissful Pumpkin Patch,1,41,9,6,51218
7041,2927,5075,Serene Squash Farm,4,82,9,2,110715
7042,4797,3423,Elm Tree Oranges,4,41,9,8,92114
7043,1601,2168,Anita's Farm,4,82,9,7,91015
7044,1962,4629,Harvest Herb Farm,4,21,5,3,71121
7045,8538,5760,Dry Creek Lavender Fields,2,62,4,9,51217
7046,8462,9460,Jasmin's Organic Farm,2,21,5,7,73013
7047,6782,1241,Albert's Country Estate,3,62,5,4,103017
7048,4764,9622,Turtle Pond Avocado Farm,4,21,6,2,72714
7049,6044,8847,Blue Lake Farm,1,21,6,4,101213
7050,4571,7756,Timmy's Vineyards,1,42,1,7,62515
7051,2229,2002,Rustic Honey Bee Farm,3,83,1,4,32817
7052,9775,8920,Serene Herb Garden,4,42,1,9,61116
7053,7522,6322,Kristen's Homestead,1,21,7,2,60318
7054,8092,2781,Nelson's Hills,1,62,6,9,10919
7055,3786,8173,Gloria's Chickens,4,42,2,2,110413
7056,5961,2953,Crater Lake Flower Garden,3,62,7,1,90519
7057,7393,2959,Breezy Goats,2,42,2,4,31713
7058,5081,9398,Los Angeles Acres,4,42,2,6,62222
7059,5059,9380,Francesco's Vineyards,1,83,2,6,72017
7060,8801,9314,Francesco's Horse Ranch,4,83,2,7,101320
7061,7492,7027,Sunset Hill Mushroom Farm,2,42,3,2,22422
7062,73,9247,Timmy's Fruit Orchard,4,83,3,4,60813
7063,7217,7079,Blue Lake Ranch,3,21,9,3,93014
7064,7824,3555,Sunny Oranges,3,61,3,5,42313
7065,2489,759,Alberto's Vegetable Farm,2,83,3,9,22020
7066,2651,6413,Alberto's Maple Syrup,4,21,9,7,100914
7067,5318,6868,Golden Goats,3,62,9,3,111119
7068,6666,3010,Sunset Hill Farm,4,83,4,9,11420
7069,4273,3758,Black Mountain Herb Farm,1,83,5,2,73121
7070,6432,5303,Nelson's Fields,2,83,5,3,120120
7071,6719,2585,Pringle Family Juicery,2,22,1,1,60514
7072,720,9127,Kristen's Plum Orchard,2,42,6,1,50122
7073,5898,1288,Sharon's Country Estate,2,22,1,4,100519
7074,9694,343,Blissful Herb Farm,4,83,6,1,102916
7075,4216,1392,Kathy's Organic Farm,1,83,6,2,100121
7076,2818,520,Jimmy's Ranch,2,22,2,5,102919
7077,363,3688,Jose's Peach Orchard,4,63,2,2,122015
7078,3880,9153,Albert's Egg Farm,3,83,7,3,91615
7079,1253,2134,Esmeralda's Pumpkin Patch,3,42,7,7,42916
7080,8120,3750,Pringle Family Sunflower Farms,4,22,3,2,71313
7081,1733,80,Elm Tree Squash Farm,4,83,7,8,110820
7082,1396,371,Black Mountain Horse Ranch,3,22,3,8,31720
7083,9921,8811,Carolina's Sunflower Farms,3,83,8,3,121815
7084,4958,8270,Arizona Egg Farm,4,83,8,7,10719
7085,4691,5069,Webb Family Avocado Farm,2,63,3,9,122316
7086,6604,7913,Mountain Meadows Honeybees,4,42,9,1,82315
7087,5080,2537,Black Mountain Cow Farm,3,22,4,6,21017
7088,2307,9953,Monarch Meadow Pumpkin Patch,4,42,9,6,70520
7089,1588,5832,Breezy Fields,4,83,9,3,72113
7090,564,7338,Alberto's Fields,4,63,4,7,121216
7091,1517,466,Blooming Family Squash Farm,2,22,5,1,52119
7092,3699,3034,Maribel's Farm,2,22,5,2,92617
7093,5618,6953,Ramaya's Honey Bee Farm,1,42,9,9,31222
7094,3595,4410,Blooming Family Acres,2,83,9,9,121417
7095,7439,3473,Maribel's Egg Farm,2,22,5,6,50715
7096,158,7875,Carolina's Cattle,1,63,5,7,71114
7097,3903,2817,Harvest Vegetable Farm,4,43,1,1,52713
7098,7100,7429,Sharon's Oranges,3,43,1,4,52113
7099,4836,4339,Cloudy Horse Ranch,2,63,6,6,83020
7100,9586,129,Harvest Goats,3,84,1,7,32021
7101,1127,5291,Delightful Creamery,1,43,2,2,72019
7102,4748,2038,Carolina's Vegetable Farm,3,84,1,9,72515
7103,3767,5481,Charlotte's Farm,4,43,2,3,51514
7104,3608,3444,Ross Lake Vineyards,3,84,2,2,50221
7105,3269,1157,Fly Creek Oranges,3,63,7,5,121614
7106,6729,5590,Esmeralda's Oranges,4,43,2,9,40414
7107,7463,8736,Radiant Homestead,3,43,3,1,53122
7108,3456,9956,Maria's Flower Garden,4,22,8,4,22315
7109,7947,8888,Happy Mushroom Farm,3,22,8,3,112416
7110,5122,9150,Kristen's Acre Farms,2,63,8,2,52421
7111,2081,2,Ross Lake Oranges,1,22,8,7,53014
7112,7449,3794,Pringle Family Acre Farms,4,43,3,5,42119
7113,5066,8069,Badger Hill Flower Garden,2,43,3,8,60216
7114,3999,1924,Badger Hill Chickens,4,63,8,8,72021
7115,228,7129,Webb Family Horses,4,43,4,2,111722
7116,6496,6888,Bankers Hill Juicery,2,43,4,3,90913
7117,5883,6868,Francesco's Egg Farm,1,22,9,5,10816
7118,4594,4762,Mountain Meadows Herb Farm,4,22,9,6,120418
7119,3966,9864,Blooming Family Pumpkin Patch,1,63,9,1,102016
7120,7663,1485,Charlotte's Plum Orchard,3,43,4,7,113017
7121,3612,7128,Tranquil Hills,1,63,9,8,80718
7122,5450,6494,Hightower Family Juicery,1,43,5,4,50818
7123,3253,5860,Black Mountain Vineyards,1,43,5,5,22515
7124,6044,5503,Virginia's Fields,1,84,5,5,33119
7125,6252,1160,Ross Lake Organic Farm,2,43,5,9,122715
7126,4481,7179,Sparkle Pond Acre Farms,2,43,6,2,21718
7127,3779,3248,Maria's Cow Farm,2,23,1,4,61519
7128,4320,149,Blissful Horse Ranch,1,64,1,5,30321
7129,5575,8308,Ross Lake Cow Farm,1,84,6,5,20321
7130,8791,2284,Green Meadow Cow Farm,2,64,1,8,91416
7131,8890,7570,Green Meadow Juicery,1,84,6,7,112013
7132,6014,686,Ross Lake Flower Garden,4,43,7,1,32014
7133,6755,4372,Alberto's Vineyards,2,43,7,6,112216
7134,7641,761,Smucker's Country Estate,2,84,7,3,52219
