ACCT-NBR,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,MINOR-CDE-FLAG,ACCT-TITLE,BAL-CDE,ENTY,DTE-LST-RGSTR-ACCT
7000,81,9,7,0,Dry Creek Pumpkin Patch,5,4,11413
7001,77,3,5,0,Blue Lake Mushroom Farm,2,4,21721
7002,61,5,1,0,Ramaya's Horses,7,1,11518
7003,41,1,9,0,Los Angeles Egg Farm,3,2,51915
7004,77,3,9,0,Abdalah's Chickens,1,5,122915
7005,82,1,9,0,Ross Lake Homestead,5,5,21513
7006,61,7,1,0,Blooming Family Vineyards,3,4,61920
7007,41,2,7,1,Deer Creek Homestead,7,4,112815
7008,82,2,5,0,Black Mountain Hills,9,5,111313
7009,61,8,1,0,Sparkle Pond Sunflower Farms,3,5,71820
7010,41,3,4,1,Serene Sunflower Farms,2,4,31014
7011,61,8,5,1,Blissful Herb Garden,6,4,71821
7012,61,8,7,1,Webb Family Goats,7,3,72318
7013,82,3,6,1,Turtle Pond Herb Farm,3,1,111621
7014,82,3,7,0,Coleman Lavender Fields,7,2,32717
7015,61,9,1,1,Arizona Sunflower Farms,7,3,81115
7016,41,4,4,0,Francesco's Lavender Fields,4,1,50813
7017,41,4,5,1,Jimmy's Pumpkin Patch,2,2,92920
7018,41,4,6,0,Sparkle Pond Pumpkin Patch,4,2,21519
7019,41,4,3,0,Rustic Fields,6,1,81220
7020,61,9,6,1,Sunny Cow Farm,3,5,70918
7021,41,4,9,1,Alaska Fields,4,3,120518
7022,41,5,6,0,Kathy's Honeybees,5,1,120219
7023,62,1,3,0,Salt Lake Egg Farm,3,2,42614
7024,82,6,5,1,Alaska Avocado Farm,7,1,21220
7025,62,1,7,1,Black Mountain Farm,6,5,60118
7026,62,1,9,1,Sharon's Horses,3,2,41813
7027,41,7,2,0,Maribel's Lavender Fields,7,5,110416
7028,41,7,3,1,Kathy's Ranch,9,4,80922
7029,41,7,7,1,Maribel's Vineyards,9,1,52817
7030,62,3,1,0,Sparkle Pond Horse Ranch,3,3,42814
7031,62,3,2,1,Kristen's Acres,8,3,50514
7032,41,8,5,1,Timmy's Acres,1,4,101415
7033,62,3,4,0,Coleman Farm,5,5,12215
7034,21,3,9,1,Cloudy Plum Orchard,1,3,120220
7035,41,8,7,0,Smucker's Vegetable Farm,2,3,122314
7036,21,3,8,1,Webb Family Vegetable Farm,6,2,63021
7037,21,4,2,1,Pringle Family Avocado Farm,4,3,92922
7038,21,4,3,0,Alberto's Horses,2,3,42622
7039,21,4,4,0,Middle Creek Lavender Fields,2,5,111616
7040,41,9,6,0,Blissful Pumpkin Patch,7,4,51218
7041,82,9,2,0,Serene Squash Farm,1,3,110715
7042,41,9,8,0,Elm Tree Oranges,1,4,92114
7043,82,9,7,0,Anita's Farm,8,1,91015
7044,21,5,3,1,Harvest Herb Farm,2,5,71121
7045,62,4,9,1,Dry Creek Lavender Fields,2,1,51217
7046,21,5,7,1,Jasmin's Organic Farm,4,4,73013
7047,62,5,4,1,Albert's Country Estate,8,2,103017
7048,21,6,2,1,Turtle Pond Avocado Farm,5,3,72714
7049,21,6,4,0,Blue Lake Farm,6,5,101213
7050,42,1,7,1,Timmy's Vineyards,3,2,62515
7051,83,1,4,1,Rustic Honey Bee Farm,9,4,32817
7052,42,1,9,0,Serene Herb Garden,3,2,61116
7053,21,7,2,1,Kristen's Homestead,2,3,60318
7054,62,6,9,1,Nelson's Hills,8,1,10919
7055,42,2,2,0,Gloria's Chickens,6,2,110413
7056,62,7,1,1,Crater Lake Flower Garden,9,3,90519
7057,42,2,4,1,Breezy Goats,5,1,31713
7058,42,2,6,0,Los Angeles Acres,7,2,62222
7059,83,2,6,1,Francesco's Vineyards,4,1,72017
7060,83,2,7,0,Francesco's Horse Ranch,3,4,101320
7061,42,3,2,1,Sunset Hill Mushroom Farm,7,3,22422
7062,83,3,4,1,Timmy's Fruit Orchard,1,1,60813
7063,21,9,3,0,Blue Lake Ranch,1,5,93014
7064,61,3,5,0,Sunny Oranges,8,2,42313
7065,83,3,9,0,Alberto's Vegetable Farm,4,3,22020
7066,21,9,7,0,Alberto's Maple Syrup,4,5,100914
7067,62,9,3,0,Golden Goats,9,5,111119
7068,83,4,9,0,Sunset Hill Farm,1,4,11420
7069,83,5,2,1,Black Mountain Herb Farm,1,1,73121
7070,83,5,3,1,Nelson's Fields,9,4,120120
7071,22,1,1,1,Pringle Family Juicery,5,4,60514
7072,42,6,1,0,Kristen's Plum Orchard,4,4,50122
7073,22,1,4,0,Sharon's Country Estate,8,2,100519
7074,83,6,1,0,Blissful Herb Farm,7,5,102916
7075,83,6,2,0,Kathy's Organic Farm,6,3,100121
7076,22,2,5,0,Jimmy's Ranch,8,5,102919
7077,63,2,2,0,Jose's Peach Orchard,2,4,122015
7078,83,7,3,1,Albert's Egg Farm,2,1,91615
7079,42,7,7,0,Esmeralda's Pumpkin Patch,9,4,42916
7080,22,3,2,0,Pringle Family Sunflower Farms,6,5,71313
7081,83,7,8,0,Elm Tree Squash Farm,5,3,110820
7082,22,3,8,0,Black Mountain Horse Ranch,7,2,31720
7083,83,8,3,0,Carolina's Sunflower Farms,9,4,121815
7084,83,8,7,1,Arizona Egg Farm,3,2,10719
7085,63,3,9,1,Webb Family Avocado Farm,6,5,122316
7086,42,9,1,1,Mountain Meadows Honeybees,3,2,82315
7087,22,4,6,0,Black Mountain Cow Farm,3,4,21017
7088,42,9,6,0,Monarch Meadow Pumpkin Patch,4,1,70520
7089,83,9,3,0,Breezy Fields,7,1,72113
7090,63,4,7,1,Alberto's Fields,6,2,121216
7091,22,5,1,1,Blooming Family Squash Farm,6,4,52119
7092,22,5,2,1,Maribel's Farm,2,1,92617
7093,42,9,9,0,Ramaya's Honey Bee Farm,5,2,31222
7094,83,9,9,1,Blooming Family Acres,2,4,121417
7095,22,5,6,1,Maribel's Egg Farm,6,3,50715
7096,63,5,7,1,Carolina's Cattle,3,3,71114
7097,43,1,1,0,Harvest Vegetable Farm,6,4,52713
7098,43,1,4,1,Sharon's Oranges,8,5,52113
7099,63,6,6,0,Cloudy Horse Ranch,5,3,83020
7100,84,1,7,0,Harvest Goats,3,4,32021
7101,43,2,2,1,Delightful Creamery,8,1,72019
7102,84,1,9,0,Carolina's Vegetable Farm,6,5,72515
7103,43,2,3,1,Charlotte's Farm,5,3,51514
7104,84,2,2,1,Ross Lake Vineyards,1,2,50221
7105,63,7,5,0,Fly Creek Oranges,4,3,121614
7106,43,2,9,0,Esmeralda's Oranges,8,4,40414
7107,43,3,1,0,Radiant Homestead,5,2,53122
7108,22,8,4,0,Maria's Flower Garden,8,5,22315
7109,22,8,3,0,Happy Mushroom Farm,7,3,112416
7110,63,8,2,0,Kristen's Acre Farms,3,4,52421
7111,22,8,7,0,Ross Lake Oranges,7,1,53014
7112,43,3,5,1,Pringle Family Acre Farms,5,4,42119
7113,43,3,8,1,Badger Hill Flower Garden,3,4,60216
7114,63,8,8,0,Badger Hill Chickens,4,1,72021
7115,43,4,2,0,Webb Family Horses,8,5,111722
7116,43,4,3,1,Bankers Hill Juicery,5,5,90913
7117,22,9,5,1,Francesco's Egg Farm,3,4,10816
7118,22,9,6,1,Mountain Meadows Herb Farm,1,4,120418
7119,63,9,1,1,Blooming Family Pumpkin Patch,6,2,102016
7120,43,4,7,0,Charlotte's Plum Orchard,2,1,113017
7121,63,9,8,0,Tranquil Hills,5,4,80718
7122,43,5,4,1,Hightower Family Juicery,6,4,50818
7123,43,5,5,1,Black Mountain Vineyards,9,3,22515
7124,84,5,5,0,Virginia's Fields,7,5,33119
7125,43,5,9,1,Ross Lake Organic Farm,2,4,122715
7126,43,6,2,0,Sparkle Pond Acre Farms,5,1,21718
7127,23,1,4,0,Maria's Cow Farm,3,4,61519
7128,64,1,5,0,Blissful Horse Ranch,3,1,30321
7129,84,6,5,0,Ross Lake Cow Farm,8,2,20321
7130,64,1,8,1,Green Meadow Cow Farm,1,2,91416
7131,84,6,7,0,Green Meadow Juicery,1,3,112013
7132,43,7,1,1,Ross Lake Flower Garden,3,1,32014
7133,43,7,6,0,Alberto's Vineyards,4,4,112216
7134,84,7,3,0,Smucker's Country Estate,4,4,52219
7135,23,3,1,1,Arizona Farm,5,2,31613
7136,23,3,2,1,Salt Lake Farm,7,5,62414
7137,23,3,4,0,Hudson Family Fields,9,3,71720
7138,84,7,9,1,Elm Tree Honeybees,9,2,111117
7139,23,3,6,1,Albert's Acre Farms,9,5,93020
7140,84,8,3,0,Maria's Avocado Farm,2,2,71321
7141,84,9,3,1,Sauer Family Acres,9,3,101116
7142,64,4,5,1,Maria's Chickens,7,2,10413
7143,64,4,9,0,Sparkle Pond Cow Farm,6,4,42016
7144,64,5,2,0,Breezy Pumpkin Patch,8,1,72016
7145,23,5,7,1,Los Angeles Goats,8,3,32419
7146,64,5,4,1,Arizona Cattle,1,1,70416
7147,23,5,9,0,Tranquil Farm,2,2,81122
7148,64,5,6,1,Fly Creek Hills,6,4,61718
7149,64,5,7,0,Jimmy's Vineyards,2,3,110818
7150,23,6,6,1,Timmy's Herb Farm,1,5,60918
7151,64,6,3,0,Salt Lake Squash Farm,5,4,82717
7152,44,1,5,1,Turtle Pond Peach Orchard,7,2,21621
7153,23,7,2,1,Sauer Family Honey Bee Farm,5,3,22216
7154,64,6,9,1,Kristen's Goats,4,5,50922
7155,85,1,9,1,Smith Peach Orchard,4,2,82621
7156,44,2,5,0,Coleman Pumpkin Patch,4,5,32120
7157,85,2,1,1,Jose's Cow Farm,1,2,41117
7158,85,2,8,1,Fullerton Herb Farm,7,1,91716
7159,64,8,1,0,Green Meadow Herb Farm,4,3,22013
7160,23,8,6,0,Monarch Meadow Hills,3,3,101013
7161,23,8,7,1,Deer Creek Herb Farm,9,3,42813
7162,44,3,9,0,Olivia's Goats,1,5,92019
7163,85,3,6,1,Virginia's Honeybees,9,2,82321
7164,23,9,3,0,Fulkerson Family Squash Farm,5,1,42113
7165,44,4,5,1,Middle Creek Horses,9,1,101914
7166,64,9,4,0,Carolina's Acre Farms,4,1,92221
7167,85,4,3,1,Monarch Meadow Creamery,2,5,111419
7168,85,4,2,0,Sunny Peach Orchard,4,5,51720
7169,85,4,5,0,Esmeralda's Cow Farm,1,1,82920
7170,85,4,8,1,Cloudy Maple Syrup,8,5,111819
7171,24,1,7,0,Hightower Family Cow Farm,3,3,81717
7172,85,6,2,0,Middle Creek Avocado Farm,3,2,50521
7173,85,6,3,0,Sunny Honeybees,2,2,101917
7174,65,1,6,1,Sunset Hill Goats,5,2,61913
7175,65,1,9,1,Dry Creek Homestead,3,4,91317
7176,65,2,1,1,Swallowtail Ponds Apples,5,4,82618
7177,85,7,3,1,Blue Lake Honeybees,9,1,81121
7178,65,2,8,0,Green Meadow Goats,8,5,40914
7179,24,3,3,1,Timmy's Country Estate,5,4,93022
7180,85,7,9,0,Nelson's Vineyards,7,4,10116
7181,44,8,3,0,Sauer Family Herb Garden,7,1,53118
7182,65,3,7,0,Elm Tree Acre Farms,8,4,82014
7183,24,4,1,0,Eduardo's Horses,9,4,20320
7184,65,3,9,1,Esmeralda's Acre Farms,1,3,32313
7185,85,8,8,1,Blooming Family Juicery,3,3,73116
7186,65,4,1,1,Monarch Meadow Ranch,1,5,91620
7187,24,4,6,1,Carolina's Avocado Farm,4,3,40714
7188,44,9,4,1,Aisha's Creamery,9,2,92622
7189,65,4,4,0,Deer Creek Fields,1,5,101016
7190,24,4,2,0,Harvest Creamery,9,4,92715
7191,85,9,5,1,Tranquil Plum Orchard,9,5,102318
7192,85,9,7,1,Mountain Horses,8,2,80418
7193,24,5,4,1,Swallowtail Ponds Homestead,2,4,40115
7194,24,5,8,1,Albert's Vegetable Farm,7,2,53019
7195,24,6,2,1,Smith Goats,9,3,123016
7196,24,6,4,0,Green Meadow Homestead,9,3,112914
7197,24,6,5,0,Hudson Family Pumpkin Patch,9,3,22021
7198,86,1,1,0,Green Meadow Lavender Fields,9,4,60616
7199,45,1,6,0,Mountain Meadows Cattle,1,4,52015
7200,86,1,2,0,Monarch Meadow Farm,8,5,11522
7201,65,6,6,1,Happy Pumpkin Patch,2,5,71517
7202,65,6,7,0,Hightower Family Avocado Farm,2,4,91014
7203,24,7,2,1,Charlotte's Mushroom Farm,1,4,30116
7204,86,1,7,1,Pringle Family Peach Orchard,9,1,90521
7205,45,1,7,1,Mountain Horse Ranch,6,2,50216
7206,24,7,6,1,Carolina's Flower Garden,4,4,92815
7207,86,2,5,1,Cloudy Apples,6,1,122714
7208,86,2,6,1,Maribel's Horse Ranch,6,5,32015
7209,65,7,8,1,Eduardo's Vineyards,1,2,72620
7210,24,8,4,1,Kristen's Farm,9,1,101214
7211,65,8,3,1,Ross Lake Fruit Orchard,4,4,71714
7212,24,8,7,1,Francesco's Squash Farm,5,1,60419
7213,45,4,1,0,Arizona Maple Syrup,2,2,62322
7214,45,4,2,1,Harvest Squash Farm,3,5,82118
7215,86,4,3,1,Sauer Family Organic Farm,4,5,120322
7216,45,4,8,1,Kathy's Hills,8,2,52621
7217,65,9,6,0,Ramaya's Country Estate,6,2,10213
7218,24,9,9,1,Breezy Juicery,9,1,100118
7219,86,4,7,1,Mountain Hills,4,4,31314
7220,65,9,5,1,Jasmin's Vineyards,7,1,70317
7221,65,9,7,1,Jose's Juicery,3,5,50116
7222,45,5,7,1,Virginia's Apples,1,3,11316
7223,45,5,8,0,Albert's Sunflower Farms,8,2,121016
7224,25,1,1,0,Monarch Meadow Goats,6,5,41120
7225,25,1,2,0,Timmy's Apples,4,3,90422
7226,25,1,4,0,Ramaya's Organic Farm,8,1,11320
7227,45,6,3,0,Anita's Egg Farm,5,4,70618
7228,86,5,8,1,Hightower Family Fruit Orchard,7,3,101017
7229,86,6,5,1,Green Meadow Plum Orchard,6,2,72121
7230,66,1,7,1,Black Mountain Organic Farm,1,3,110116
7231,86,6,7,1,Blissful Goats,2,2,21120
7232,86,6,6,0,Sunset Hill Fields,9,3,31821
7233,86,6,9,0,Timmy's Juicery,2,5,90713
7234,45,7,3,0,Swallowtail Ponds Acre Farms,8,4,50214
7235,66,2,4,1,Gloria's Apples,8,1,123115
7236,66,2,5,0,Blooming Family Cattle,4,5,31620
7237,45,7,8,1,Jose's Pumpkin Patch,1,4,102915
7238,86,7,5,0,Serene Creamery,5,1,70319
7239,25,3,3,1,Fullerton Ranch,5,5,50217
7240,25,3,4,0,Gloria's Ranch,5,3,91516
7241,66,2,9,0,Blooming Family Sunflower Farms,5,3,52514
7242,66,3,5,0,Delightful Horses,7,1,42518
7243,25,4,2,0,Francesco's Mushroom Farm,1,3,100716
7244,86,8,7,0,Nelson's Acres,7,1,81619
7245,25,4,4,1,Golden Vineyards,7,2,102613
7246,25,4,3,1,Timmy's Cattle,5,1,51119
7247,45,9,5,1,Maricel's Plum Orchard,5,5,71016
7248,45,9,9,0,Charlotte's Goats,3,1,72418
7249,86,9,9,0,Kathy's Avocado Farm,8,3,50622
7250,66,5,7,1,Virginia's Homestead,4,2,82818
7251,25,6,1,1,Francesco's Acre Farms,8,5,71322
7252,46,1,1,1,Charlotte's Avocado Farm,5,3,51815
7253,66,6,1,1,Dry Creek Country Estate,5,1,11221
7254,25,6,6,1,Fly Creek Pumpkin Patch,4,5,32122
7255,66,6,4,1,Salt Lake Hills,6,4,30819
7256,46,1,9,0,Alaska Vineyards,7,1,60917
7257,66,6,8,0,Coleman Avocado Farm,6,2,12015
7258,87,1,7,1,Pringle Family Organic Farm,3,4,31214
7259,66,7,2,0,Fullerton Maple Syrup,9,5,90717
