DTE-TRNSCTN,LN-NBR,LN-NBR-NEW,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,AMORTN-AMT-CUM,PRTL-SALE-LN-NBR,PRTL-SALE-AMORTN-AMT
21720,34,81,61,4,8,74019.6,26,-14697.94
112119,35,77,81,9,7,31359.54,24,-37373.12
92122,67,61,81,9,6,-36295.74,27,30336.37
21518,40,41,61,5,3,5267.33,23,79623.34
123017,77,77,61,5,4,-31909.83,29,-38743.64
52317,58,82,61,5,6,92042.75,21,-45678.9
112617,48,61,61,6,3,-45722.17,25,-312.57
102023,42,41,41,1,6,42108.11,20,20752.58
12522,90,82,61,6,4,-22178.4,25,20959.82
60423,80,61,41,2,3,31955.41,25,80057.11
121014,93,41,61,7,2,24978.07,28,84808.97
62621,28,61,82,2,4,-5634.81,21,-46336.95
21919,34,61,61,7,9,16379.23,30,10344.14
51014,65,82,41,3,1,28833.62,26,24179.79
71322,80,82,41,3,5,-12629.95,24,60732.23
102523,22,61,82,3,1,68888.21,30,54069.97
112315,84,41,41,3,8,-81799.96,22,58140.51
110822,59,41,41,3,9,79476.34,22,11905.05
32419,87,41,61,9,3,39511.84,26,94952.13
20617,70,41,41,4,6,29352.05,20,54602.65
12118,12,61,82,4,5,21493.54,23,86281.01
90618,33,41,82,4,7,86194.67,21,-50885.92
31523,91,41,41,5,3,74680.64,20,75853.55
102719,33,62,82,5,7,-42032.29,23,43491.52
72516,82,82,41,6,1,-94672.78,26,53133.02
11122,5,62,82,6,4,-61276.35,30,-63363.3
122014,77,62,21,2,1,76909.46,29,-55337.76
91920,79,41,62,1,9,74731.89,27,-95516.12
51320,75,41,21,2,5,-31817.41,25,-68764.49
10219,47,41,41,7,4,40165.91,24,87838.97
81120,65,62,62,2,1,-84239.45,26,77901.95
102521,89,62,62,2,2,-94880.33,21,-86568.89
81821,14,41,41,7,7,65234.62,20,-3604.77
90415,29,62,62,2,5,-89946.6,29,-65989.84
10115,52,21,21,3,1,73542.91,20,22741.03
70314,52,41,82,7,5,97285.02,29,-62816.29
90116,15,21,21,2,6,-49362.72,30,-15203.04
80518,85,21,82,7,8,-5453.21,28,-28270.62
50116,98,21,41,8,3,-85254.93,24,-98732.45
121713,25,21,21,3,5,-50154.33,22,-73501.1
82314,44,41,41,8,5,24782.24,27,89224.27
50119,99,82,82,7,6,90521.09,29,13949.56
10621,51,41,62,3,5,-13924.63,22,31766.84
122423,6,82,41,8,8,36417.48,30,-68194.34
82916,73,21,21,4,1,-64225.94,30,41725.33
121014,81,62,62,3,6,-70380.85,25,-83208.84
90423,19,21,41,9,1,80184.69,26,14872.31
102316,87,62,41,9,3,12316.98,29,-18466.41
72318,75,21,62,4,1,-49012.8,30,-83191.84
70819,23,21,62,4,3,66056.63,24,99510.4
81219,6,42,82,9,2,-82977.44,30,4783.52
91717,79,83,62,4,7,58711.42,27,-42646.49
72120,84,42,62,5,1,-75986.79,26,14671.96
122614,96,21,21,5,9,81158.88,21,-25741.66
83015,58,62,62,5,6,-26123.26,30,-17991.25
102118,19,42,42,1,3,53748.51,28,94865.6
53017,79,62,62,6,2,-46546.49,27,-95101.13
111514,35,42,62,6,4,-82556.57,22,2598.37
92316,7,42,21,6,8,91466.7,30,32619.9
22213,67,83,42,1,7,-36371.12,21,-9520.57
111814,2,83,83,1,5,18908.21,27,69571.11
31123,37,42,21,7,1,28730.65,23,73850.92
80518,69,83,83,1,7,55651.2,29,-97288.57
91616,30,21,62,7,6,81716.24,22,22208.17
50616,24,61,83,2,4,-96882.29,26,-90502.38
122317,29,83,42,2,8,59828.14,28,38864.34
80714,29,21,21,8,4,-7155.86,27,22390.32
60420,21,62,62,8,1,-92043.96,27,-16792.05
100923,39,83,62,8,2,70946.75,28,80792.18
62517,38,83,42,3,4,-81892.07,26,-60355.28
32517,87,83,42,3,5,-48857.51,29,-54316.82
112820,68,22,42,3,9,-22891.18,28,35103.4
32522,48,42,62,8,9,28967.74,23,-46658.7
62015,85,22,83,3,8,-87678.54,20,5653
20718,19,83,42,4,3,-48890.35,21,25280.32
11713,39,83,21,9,6,-61426.53,29,-18724.22
12221,4,22,62,9,3,60933.47,22,-69994.99
80520,16,63,42,4,5,-28786.68,28,44852.51
12321,88,83,21,9,3,42421.64,26,-90020.08
81619,62,42,83,4,4,7650.96,25,-48475.53
102018,1,22,42,4,9,-77259.14,22,-49097.05
70114,46,83,42,5,1,91677.08,27,95338.37
120217,2,22,83,4,9,-34141.72,24,-78024.21
110920,39,83,83,5,3,-20589.97,23,60590.48
31420,19,83,22,1,9,24872.93,22,-12285.1
110914,9,63,42,6,7,-79714.88,22,65130.4
110522,56,42,83,6,5,-28835.5,22,-92908.82
11318,47,22,22,2,2,-92468.54,30,26409.75
80617,99,42,63,2,1,69850.5,26,29734.06
11114,48,83,22,2,6,-48121.44,26,82904.84
90720,25,63,42,7,5,97217.21,28,98295.75
91816,26,22,63,2,2,-75441.23,21,-34911.42
10917,45,22,22,2,9,59287.24,23,-71089.82
102023,70,42,63,2,6,-71283.11,30,-39407.84
10215,93,83,42,7,8,64820,28,21734.95
121920,37,22,63,2,9,75987.61,21,-26706.66
122915,92,63,83,7,9,26487.76,21,62684.63
42623,48,43,63,3,5,64811.25,22,-92362.64
111120,2,43,42,8,8,-2524.84,24,-45803.04
110316,55,63,22,4,1,-32794.2,28,-51521.93
20819,49,84,63,3,9,5773.83,27,-86623.65
92922,74,43,42,9,2,-67442.3,28,-9591.15
20119,45,84,63,4,1,30896.92,21,92136.3
50319,45,43,42,9,3,84065.81,27,72415.54
21521,15,84,22,4,6,2018.08,27,89322.69
41818,28,63,22,4,9,-22938.79,30,-79694.05
62815,75,43,22,5,2,44203.79,24,20894.8
22014,91,43,63,5,1,94049.94,22,18426.46
62114,48,22,22,6,4,-77065.39,23,46192.36
30618,78,22,63,6,1,-24302.18,29,-99622.5
111121,67,63,63,6,6,44519.97,30,-59384.47
11417,42,22,43,1,8,-94628.83,23,22967.48
61915,87,43,84,1,7,21503.71,21,63067.11
122120,47,43,84,1,8,-59167.66,22,71579.71
32423,8,63,84,1,9,-55218.39,26,-94960.37
41519,6,43,22,7,6,-79130.01,30,-44491.43
62413,76,43,22,7,7,23707.5,26,-24163.51
90818,55,22,43,2,3,-22563.04,28,82930.98
20213,68,22,81,8,7,21633.67,26,97724.66
11313,28,63,63,8,2,10523.82,21,-65.32
10313,12,43,43,3,6,59902.89,22,-22564.84
31019,63,63,22,9,2,81465.34,24,27741.21
92820,80,43,43,4,2,67788.83,20,-41350.8
81822,84,43,84,4,1,-30487.78,21,-24385.45
62922,27,84,63,9,5,-39409.83,28,22841.7
102915,94,43,43,4,8,82958.45,22,-85008.25
82923,20,43,43,4,9,-13092.4,21,15774.28
112514,50,23,84,4,5,-65777.52,29,60278.77
71617,91,64,63,9,8,70704.68,27,35822.5
63020,26,84,43,5,1,12380.95,20,37664.83
32818,27,64,63,9,6,85073.03,25,92445.83
111522,56,84,84,4,9,-53987.95,28,-52039.54
90119,52,43,84,5,3,-1679.27,26,-50198.33
80623,8,43,23,1,3,32771.06,20,64751.65
81914,16,84,84,5,8,58385.23,27,-37938.77
62416,49,23,23,1,5,-78252.47,25,82587.12
12423,78,23,43,6,4,75249.59,29,26712.52
32719,83,23,64,1,4,-41572.72,20,39799.37
51022,98,84,64,1,5,82228.07,21,20510.38
62616,34,23,64,1,7,3612.16,24,-92473.82
62419,28,84,43,7,1,-77653.18,24,83741.82
70320,36,84,64,2,1,70272.92,30,-62630
10115,83,64,64,2,2,-77955.82,22,-15488.39
120716,83,64,43,7,5,24384.87,30,38405.53
50216,57,64,64,2,6,-27118.48,21,99732.67
11917,60,23,23,3,2,-1118.03,26,97751.14
60223,19,64,84,7,7,34287.29,24,-67414.53
120521,33,23,23,3,6,99970.35,20,80232.06
122018,56,64,43,8,6,-72895.7,27,-78603.69
42422,14,64,23,3,9,39239.71,23,-41356.85
102814,4,23,64,3,6,-3623.12,27,41678.8
112917,52,64,84,8,3,70272.39,21,60778.24
92413,97,44,43,8,8,-19669,27,39778.54
91121,72,23,43,8,9,-1209.47,25,56189.94
60423,97,64,84,8,2,26722.6,29,-97303.86
40521,36,85,23,4,6,-71030.67,20,31642.49
33116,58,44,23,4,7,95748.23,24,38239.94
122222,3,85,64,4,4,87284.08,25,17004.5
90223,80,85,23,5,3,-69372.48,23,-45304.69
12823,87,64,84,9,9,88459.81,26,28255.85
90917,19,23,64,5,2,34481.06,29,-2989.11
11116,29,23,23,5,9,85935.18,29,64546.32
12819,17,44,64,5,8,-15000.02,30,54721.94
83015,38,85,44,1,2,-11737.27,27,37589.43
11916,25,23,64,6,3,58929.97,20,-28198.9
11718,15,44,23,7,1,6027.97,28,-58374.91
11619,99,64,23,7,3,-42673.56,21,-53833.69
70714,6,85,64,6,9,388.45,21,50151.33
40718,17,85,85,1,9,11716.34,20,-32973.16
73122,32,85,44,2,5,42969.37,27,-69757.99
81814,84,85,85,2,2,-17323.44,28,-37040.78
21016,3,24,23,7,7,31643.15,23,11165.9
41216,25,85,64,7,6,-78748.59,28,-58785.78
31723,3,85,44,2,9,-83430.42,30,-26405.78
42915,39,65,44,3,1,89402.48,24,-35325.09
52418,2,65,64,8,3,-17820.93,28,-65510.03
92815,77,65,44,3,8,66732.71,22,57939.88
72818,13,85,44,3,9,64737.97,20,-67964.38
60922,86,65,85,3,6,-6886.93,25,-24090.78
51118,77,24,23,9,2,95457.35,20,-94427.45
42213,57,85,85,3,8,-26986.15,21,-80652.25
111517,57,44,64,9,3,-95325.83,23,97679.91
71918,28,65,85,4,2,26603.31,23,-79054.43
52115,5,24,85,4,9,-37768.43,27,19706.99
81015,99,65,24,1,2,-79757.39,21,-60311.07
10319,19,85,65,1,1,-59160,26,37808.74
80214,16,65,44,6,4,28805.45,20,-35986.04
120315,55,24,85,6,1,-60710.8,23,98231.11
112518,14,44,44,6,6,47064.31,29,87649.19
61922,8,65,85,6,5,-23619.63,26,31925.47
42118,16,24,65,1,7,-98110.07,29,98427.28
112917,88,85,24,2,7,94582.39,30,77681.74
111218,97,85,24,2,9,31994.79,25,-78402.36
111516,46,24,85,7,3,-20271.41,26,36609.21
111121,74,24,44,8,1,77263.97,25,-97333.22
22418,20,24,85,7,9,-43961.61,28,24065.65
60813,11,24,85,8,2,9513.49,25,-70005.72
30118,79,24,85,8,4,19367.79,20,33302.51
30618,58,86,85,8,9,31363.75,28,2725.02
41014,74,45,65,4,2,-86674.32,23,69619.2
22522,91,86,44,9,4,-86231.36,23,-87701.77
50718,95,65,65,4,4,28650.91,25,76361.31
20916,25,65,85,9,3,-2921.14,22,81585.78
92020,13,24,44,9,7,69956.84,26,-84054.78
120414,50,86,85,9,4,-11118.63,20,41337.95
80313,86,45,85,9,7,-94900.82,21,-15619.34
110818,34,24,65,4,9,-92208.35,29,-74640.94
62519,22,86,24,5,6,-62255.18,22,59637.01
110217,97,86,65,5,4,-49435.91,25,-72438.22
51422,46,65,65,5,5,70220.32,28,17741.89
40916,67,24,65,5,7,72548.18,25,20525.71
40919,25,65,24,6,2,-81365.17,30,-97914.33
62617,89,24,24,6,5,-90645.44,28,41723.61
90421,36,45,24,6,8,8067.37,21,9188.92
120215,35,45,86,1,2,52667.83,21,23506.42
30118,87,86,65,6,6,76590.25,29,19570.69
90218,78,45,65,6,7,-41661.13,23,-45502.53
70419,53,65,24,7,3,95933.77,28,61696.61
112217,63,24,24,7,4,-33139.76,21,40178.08
62015,33,86,86,1,7,-22148.74,22,-38676.21
71821,3,65,65,7,2,-70265.34,27,-41805.82
40313,89,65,45,2,6,-79753.03,20,-61968.41
82814,31,45,45,3,3,96860.3,30,19467.13
30214,17,45,65,8,2,31929.25,25,-69668.78
21120,71,25,24,8,5,-64197.09,23,-28531.17
111515,99,25,86,3,2,-7451.86,21,-5840.56
22021,49,25,45,3,7,-10318.6,24,-91828.64
41723,86,45,86,3,4,62216.3,24,27186.97
101319,14,86,65,8,6,-19666.61,30,33626.47
111721,43,86,45,4,1,-94879.24,26,-65575.37
12213,18,66,24,9,5,-90343.61,22,-14539.96
42723,59,86,24,9,6,-22034.62,30,41547.04
100520,55,86,45,4,5,80765.49,26,19532.9
20522,66,86,45,4,4,-81464.74,28,45564.06
10917,28,45,45,4,9,-17018.51,28,-3980.24
61313,11,66,86,4,6,-89418.59,23,-34980.98
71922,77,66,86,4,8,-31006.99,21,86258.28
11216,36,45,45,5,2,-66118.8,24,59814.06
83018,47,86,25,1,1,73583.24,20,59119.72
92914,40,25,86,5,9,-70893.02,21,68137.43
73020,81,25,66,1,2,-32120.37,29,-17197.42
121122,90,66,66,1,1,38346.43,30,-30325.89
62213,73,66,45,6,6,88573.45,27,-95445.12
80513,93,25,25,1,9,-41874.52,22,-35897.27
60716,10,86,66,1,7,60856.99,22,57080.45
50320,86,25,25,2,1,-87782.86,28,-48756.09
70920,83,25,86,6,8,93060.4,30,23349.76
50214,97,45,45,7,6,38777.66,27,60225.29
50314,62,45,66,2,5,16816.22,27,18637.14
62914,96,86,86,7,2,-89567.5,24,30715.2
92013,1,66,45,7,9,81323.43,20,353.16
53123,47,25,25,3,2,-65535.95,26,11558.69
70914,36,46,25,3,3,-49012.54,20,-97212.41
20621,95,66,45,8,2,-30107.76,30,-3535.19
71814,95,25,86,7,9,40089.81,23,96457.7
102719,52,66,45,8,4,-40712.13,27,12820.49
72423,93,46,45,8,5,-9567.03,20,10433.97
13020,60,66,66,3,4,-25444.11,29,-22091.08
100616,39,87,21,3,2,-7305.46,23,88446.31
72517,68,66,45,8,6,-49434.84,21,55227.32
30318,97,87,45,8,9,91608.38,27,2363.19
70915,22,66,86,9,7,-31974.07,30,99586.68
61716,89,25,86,9,8,47272.16,26,-12785.05
110614,65,46,25,5,5,25448.46,23,53659.78
52619,87,46,25,5,8,83347.04,23,-46888.05
20420,6,87,25,6,5,-47472.54,21,98045.12
111013,11,46,87,1,3,81599.1,30,11120.28
71319,40,87,66,6,8,98918.97,30,-76642.24
111814,18,25,66,6,9,70132.11,29,-31426.75
52223,40,25,25,7,3,19813.55,24,5453.97
90515,77,66,87,1,9,90580.23,29,15100.77
11018,58,46,46,2,4,-97456.89,22,-52860.47
101423,93,66,25,8,2,95608.04,20,-90280.31
61916,64,66,25,8,3,-65212.01,21,-4330.15
112416,7,66,46,3,3,-3461.54,26,21587.24
92821,10,46,25,8,6,-66515.72,27,90955.49
30218,50,87,87,3,2,-7038.06,21,-75825.35
101918,74,87,46,3,6,97031.74,30,97993.55
40322,71,26,46,3,8,23787.32,28,-48208.64
110818,69,67,66,8,6,80152.95,28,-2802.62
81120,34,26,87,3,6,41753.19,29,9057.67
10914,49,87,87,3,7,1297.39,28,-31165.38
32314,16,26,66,8,9,-42860.02,29,54663.16
81118,64,87,66,8,5,2128.24,30,-61985.4
70814,41,26,66,9,3,82173.52,29,56404.98
62819,82,46,66,9,4,43722.97,20,36852.59
50616,10,46,87,4,2,64104.84,23,70648.31
