FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,LN-NBR,TYP-PLAN-CDE,WRTDWN-AMT-SCRD-RE,WRTDWN-AMT-NOT-SCRD-RE,BEGNG-MKT-VLU,ENDG-MKT-VLU,NET-RECVRY-VLU,POTL-RECPTR-AMT,RCVB-AMT-DUE,RCVB-AMT-PD,DTE-EFCTV,DTE-MTURTY,DTE-LST-CSH,DTE-FNL-PYMT,DTE-LST-RGSTR-DTL,RGSTR-TYP-LST-TRNSCTN,EQUITY-SALE-CONTR,APPLTN-CDE,FULLY-PD-CDE,FNL-RCVB-CDE,DTE-SALE-PROP,DTE-COMPLD-SRVCG-APPLTN,ASSTNC-TYP-CDE,DTE-OBLGN,CR-APPLD-NONCSH,DTE-LST-NONCSH,SUSP-CDE
61,4,8,34,6,-13685.54,-67587.68,67532.86,-76803.83,-50584.44,-31686.59,11484.85,-45713.59,90710,90230,51123,93030,11413,46,70,Z,P8,8,42321,122815,131,111819,36094.93,82521,8
81,9,7,35,7,71422.17,5875.17,16575.69,87689.2,-73441.88,47192.08,-51238.28,-92646.02,50111,42631,52623,43031,21721,62,58,F,T2,3,30320,42023,101,101214,-10698.76,21921,3
81,9,6,67,6,-46558.11,-85078.85,41555.16,-31481.62,-66150.15,-48977.06,51079.66,86952.13,30612,30422,51123,33122,11518,80,9,Z,C5,8,40613,92318,144,121817,-28578.89,41520,3
61,5,3,40,2,-30441.53,59343.68,-2228.54,23227.16,45158.24,-64903.66,57666.23,71858.15,40210,33020,50823,33120,51915,97,92,3,H5,3,31920,111015,152,112517,-70535.55,51317,8
61,5,4,77,0,27784.24,-85983.68,-84602.73,35140.07,-15164.58,-31209.67,23055.87,-19574.67,71011,70531,52723,73131,122915,88,13,T,C6,6,101323,22123,117,31022,-18557.73,32121,4
61,5,6,58,6,95781.56,-39188.93,13987.21,66044.64,67683.94,-44669.72,-70343.08,-35994.11,92910,92620,50123,93020,21513,91,99,C,G0,6,91315,41318,178,90718,21299.02,42719,0
61,6,3,48,9,15583.65,-56221.88,-81983.3,86431.4,-31147.82,-39703.48,78868.64,-32177.56,50811,50521,53023,53121,61920,65,73,E,U6,5,91415,111419,108,52019,56658.4,90921,0
41,1,6,42,2,15127.72,95266.98,87456,10770.49,12292.99,-17935.84,-31976.74,-72596.08,91911,91621,51923,93021,112815,30,2,1,W7,3,51121,50114,176,10318,-22787.02,81114,2
61,6,4,90,3,-40221.08,43203.11,30579.53,-56867.17,-2097.88,89413.23,17340.54,36384.04,100113,92633,50523,93033,111313,56,32,S,V8,4,72520,20323,127,91019,-66105.39,20219,5
41,2,3,80,7,47531.48,-9847.14,-26879.38,35439.26,-76922.76,28704.74,21633.94,76402.68,101914,101624,50223,103124,71820,19,94,L,S0,5,10618,110821,191,71316,64177.27,70614,5
61,7,2,93,3,-57645.58,78322.21,32357.5,-34534.8,62403,34506.11,-84468.69,47697.83,102210,101440,50723,103140,31014,37,4,H,G6,2,51517,112222,101,60416,-8745.43,82723,5
82,2,4,28,0,71348.59,47438.09,-84358.72,-81564.26,1654.7,-76158.54,40330.03,-14337.25,31413,31223,51523,33123,71821,11,38,3,Y7,1,21718,111520,118,42923,-22449.37,50919,7
61,7,9,34,6,-85484.28,46722.77,80844,38497.59,17769.62,14333.52,-78808.23,-46880.91,91913,91433,50323,93033,72318,36,6,D,W2,1,112417,91115,106,82623,-2995.16,110621,9
41,3,1,65,3,-79972.35,9951.44,70413.21,53935.37,-74876.3,12826.67,-91998.32,-64749.94,13111,12821,50223,13121,111621,13,76,6,Z4,1,11421,92713,177,82923,-16762.83,60219,3
41,3,5,80,4,3776.32,-40648.59,-22102.21,-33116.98,24268.56,51901.59,28917.25,-37966.39,91211,90731,52323,93031,32717,17,29,0,V4,5,40922,113015,182,110913,42227.03,93014,7
82,3,1,22,7,-20016.75,19489.09,29187.85,-26988.91,2811.9,62865.53,86189.98,-26645.1,62413,61933,51223,63033,81115,30,40,T,B2,3,40320,72621,100,111716,5478.48,42014,5
41,3,8,84,6,5746.69,-67956.83,-44922.5,-20893.58,-66077.55,-13519.96,-90693.21,-74108.17,21711,21421,50923,22821,50813,34,25,3,Z5,5,41516,72516,197,30717,-627.51,92823,8
41,3,9,59,8,-43764,-41448.46,44403.64,-36834.96,-2338.17,-33539.63,-94056.54,-30889.97,91111,90821,52023,93021,92920,86,35,5,I3,7,71213,80522,176,90819,77817.38,42013,5
61,9,3,87,4,-14836.13,-26243.3,-26993.82,-79455.35,-80024.53,-52358.57,-1613.95,-38901.42,121114,120824,50523,123123,21519,50,10,K,F8,5,61720,20222,169,52522,-16252.37,31416,9
41,4,6,70,8,92590.97,12815.87,-37262.28,29013.52,35247.94,77484.87,-98006.54,-5523.38,61514,61224,52223,63024,81220,5,98,D,R2,6,121921,62518,120,80622,76622.15,42421,0
82,4,5,12,0,-49673.09,-98736.59,15058.92,62095.27,-36950.3,49405.39,95835.4,37033.63,120810,120520,52923,123119,70918,89,40,G,H7,6,112621,41223,176,93019,-77931.31,91122,7
82,4,7,33,2,43506.08,1590.35,77025.5,-44429.73,63562.52,-86334.83,-49908.63,5613,121912,121242,51223,123141,120518,25,66,W,Q0,1,30121,62015,158,72520,76631.06,70813,9
41,5,3,91,2,-23855.96,936.44,-75772.53,49966.22,-62385.41,12947.73,-28729.64,42980.55,80910,80430,52523,83130,120219,75,2,3,O7,6,41818,51919,107,43122,47875.87,60422,1
82,5,7,33,3,76634.73,-7395.13,65986.46,-75397.16,37311.64,20643.69,993.89,-59874.85,30911,30431,50423,33131,42614,66,51,J,E4,6,82116,73018,102,22022,87064.42,10319,8
