FY,ENTY-CDE,ACCT-NBR,MINOR-CDE,CUR-MO-CDE,CUR-ACCT-BAL,PR-YR-ENDG-BAL,GL-MO-ACTV,CLSG-ENTRIES,CUR-MO-PR-YR-ACTV,SUBQ-MO-PR-YR-ACTV,MEMO-ACCT-BAL,PREV-BAL-CNTR,DTE-LST-RGSTR-ACCT,RGSTR-TYP-CDE,CTRY-DIGIT
40,96,7000,213,56,-85341.59,64104.63,87878.92,-89107.57,77625.11,-65420.56,-50046.17,-66296.88,11413,22,5
81,93,7001,220,42,-54760.12,10305.79,-34467.85,99149.02,51828.86,85183.72,-11490.7,53369.1,21721,22,8
81,97,7002,200,28,-97512.1,-33451.51,-66907.51,-36130.24,39908.17,60619.42,9307.85,61434.8,11518,22,9
41,4,7003,209,12,39704.9,4578.06,-24246.9,-32437.18,-80036.16,41806.04,-73061.59,-29376.12,51915,20,6
61,53,7004,218,38,44078.52,19387.2,13440.29,-9910.7,-15869.02,19905.52,-55926.34,34442.5,122915,23,4
20,59,7005,204,46,-31254.05,-33215.44,-31296.99,-46534.16,40945.2,-7647.16,90461.37,24146.46,21513,22,4
41,11,7006,205,34,12749.15,4294.29,53509.04,-93755.78,64189.77,14296.87,-58961.74,19601.42,61920,21,9
61,66,7007,201,35,-98837.03,-81805.73,55914.1,25320.68,82243.49,-84469.54,-75837.09,-24540.38,112815,21,8
82,16,7008,210,43,-41336.64,67667.69,-69583.88,-53978.7,90507.77,-61276.15,40821.16,-70213.92,111313,20,1
20,75,7009,213,21,-26962.86,57429.01,-21576.22,1249.22,-82349.39,6913.82,-6138.01,12636.06,71820,22,9
41,24,7010,209,51,36903.54,85486.79,43606.03,-21987.54,-15269.74,80225.67,-7825.92,-13637.22,31014,23,5
41,26,7011,217,24,81396.41,-53859.29,85686.9,-14397.41,-42715.32,-55758.41,-66586.94,-30118.43,71821,22,9
41,27,7012,204,96,36566.42,20328.98,-41507.73,-18114.25,-47139.12,10392.93,74562.73,52171.36,72318,23,9
61,76,7013,210,96,17451.5,73436.22,-45504.67,-89860.99,18670.72,-5562.77,35345.21,-52440.38,111621,21,5
41,36,7014,202,71,-24179.53,-9130.67,-10810.8,-35451.72,-50849.68,18428.82,-57518.46,9826.28,32717,22,3
82,33,7015,215,38,-75252.33,70919.46,-7279.93,7106.94,97554.83,86177.18,23725.51,9980.71,81115,22,5
41,39,7016,206,17,26993.62,33556.2,42700.49,77953.66,34484.59,-38771.9,-35201.53,48672.65,50813,20,3
82,36,7017,214,39,-52388.85,-77047.58,-12408.05,-37656.88,67164.95,17306.69,69773.71,82854.35,92920,22,9
41,43,7018,210,64,-51200,74393.83,-14415.85,71183.82,-49072.48,47529.63,75482.24,-30,21519,23,5
20,96,7019,200,76,82274.07,991.81,-39281.5,-5678.27,-62079.39,89591.31,32601.18,-96979.14,81220,21,8
82,42,7020,201,29,-60123.37,-21605.73,-74000.96,48727.45,5434.29,4684.08,-38701.46,-49461.76,70918,21,1
82,44,7021,211,38,37018.2,-20029.02,15977.79,-27859.03,-37889.41,95655.3,-22956.62,-75000.66,120518,20,5
21,0,7022,209,62,-43096.67,-92621.46,-8224.27,-77763.03,-97389.66,68869.1,1385.51,97938.79,120219,22,1
62,1,7023,209,52,1706.1,-23782.17,-85123.29,77629.09,24252.27,-96809.56,-54715.17,-74817.56,42614,21,6
62,2,7024,218,38,32677.45,85544.71,-90734.71,1995.16,-33887.48,-42384.91,25168.39,-68265.84,21220,22,1
41,55,7025,202,40,10671.21,49274.2,16819.36,15156.42,35411.94,-12776.57,89928.98,-76532.26,60118,21,3
21,9,7026,209,87,31414.23,-52557.32,-55395.09,97814.95,-43469.23,-13031.87,-21174.96,-86366.03,41813,20,1
82,56,7027,211,61,-58887.54,-18371.3,4252.21,15220.9,75714.77,87482.6,74908.33,4890.34,110416,21,1
82,57,7028,202,10,18605.98,-34220.56,19140.26,125.4,72195.94,-56424.46,-9396.08,10968.16,80922,20,2
62,10,7029,206,35,-85565.88,-15366.36,-3266.03,54109.44,46186.19,-37324.5,39491.61,68350.57,52817,23,2
41,63,7030,211,57,-23710.35,68926.39,-46698.28,8685.01,-5207.54,95109.41,95360.07,97685.86,42814,20,6
21,20,7031,201,87,-56817.73,-16729.79,89744.79,-96435.35,23500.73,-74583.9,71415.3,-36991.49,50514,20,9
62,16,7032,207,24,-25293.58,64277.79,-58018.63,13825.32,-89364.99,-85976.79,67343.33,54825.21,101415,20,9
41,70,7033,218,14,-95009.49,-30140.81,-37648.54,88363.85,13191.62,47407.26,-59258.65,3900.57,12215,21,9
82,67,7034,213,47,-93564.02,-83932.44,93520.73,-74633.38,-1064.33,48158.76,-17656.6,26986.75,120220,23,2
82,64,7035,211,19,-92225.79,11972.93,14277.61,-240.71,-10255.59,-6694.47,85989.75,58098.95,122314,23,7
62,27,7036,210,33,19877.05,91713.61,84810.86,88300.36,-91972.12,9199.61,-12719.26,5469.06,63021,21,9
41,79,7037,207,44,51415.94,-31903.85,86142.85,-14116.02,-54540.11,38733.05,-29491.46,-91050.02,92922,21,9
82,77,7038,220,27,-97573.19,-42370.87,-48778.46,-35007.94,97982.91,24219.6,-41376.42,-45637.82,42622,20,8
62,30,7039,220,96,-69957.66,30365.27,-18052.52,30390.64,-61040.83,26570.79,14017.83,79524.99,111616,22,4
21,36,7040,218,76,53253.85,-49789.59,95869.43,-36265.86,69626.29,-3228.59,46046.82,-27832.67,51218,21,6
41,86,7041,212,80,48146.18,-15548.73,-18533,51349.73,16289.77,99470.81,-33019.7,-86160.65,110715,23,9
41,87,7042,218,13,14784.67,-40482.96,-41270.09,44091.95,-14648.45,36676.44,78139.39,75072.23,92114,21,8
62,34,7043,205,68,-43272.5,45633.27,47796.2,-41786.39,58423.69,28878.69,83878.57,-17525.12,91015,23,3
62,37,7044,214,57,31242,49384.05,-41807.83,-92795.49,37145.74,51089.89,55270.31,44101.87,71121,23,2
82,89,7045,217,54,17619.59,62482.14,-92576.93,11011.4,89816.44,-92902,-49044.11,40928.79,51217,23,4
21,52,7046,213,11,73918.06,-16470.32,-52338.08,-70069.5,-22481.1,3617.25,92173.35,38514.35,73013,21,5
62,48,7047,220,12,24906.19,30134.96,-73719.33,-20855.04,17917.21,35061.53,38737.46,12838.41,103017,23,2
21,56,7048,218,85,85600.37,81757.16,50768.67,10538.28,-16755.13,42851.31,-73352.43,-31182.7,72714,23,9
42,6,7049,216,62,80545.92,38253.27,-76474.72,4827.92,85661.35,-40208.96,-37773.12,-77569.52,101213,23,4
83,5,7050,200,70,87836.78,75160.56,-49044.89,-7398.8,71167.48,86405.42,68206.42,96766.88,62515,20,3
21,66,7051,214,60,45018.4,-43779.39,86560.08,-24978.44,-91421.42,64335.08,83938.01,-84161.59,32817,22,8
42,15,7052,206,29,-70499.27,11231.34,-95539.23,74380.49,33745.27,-39639.83,4801.75,-31260.28,61116,23,3
83,12,7053,213,50,49890.62,83089.97,28695.73,83066.59,57169.21,-77358.42,81679.22,-59042.39,60318,21,8
42,16,7054,211,54,-39691.77,-19061.35,74015.64,11364,35943.6,18561.25,-48208.93,99476.89,10919,23,8
21,71,7055,206,78,27631.52,85809.23,44387.62,93826.82,-97822.5,82986.35,7132.2,88822.77,110413,23,2
42,21,7056,201,85,-64683.48,1113.5,-11543.42,68840.12,96523.32,-87531.92,-14522.34,-76893.65,90519,20,8
62,70,7057,207,37,72571.82,-51596.13,-78220.98,-86213.88,-29815.71,32404.77,12982.8,89241.5,31713,21,4
42,24,7058,205,98,-13581.33,-35188.52,72622.18,-14094.1,13757.19,26416.87,37334.43,-74272.5,62222,22,4
21,81,7059,200,84,-62294.36,93079.88,-32676.81,1027.97,-47210.37,71361.4,75945.98,85384.35,72017,23,6
62,78,7060,212,83,-63098.89,-86788.86,55102.82,74900.82,-83999.02,5617.11,87617.01,-32655.8,101320,21,6
21,86,7061,201,80,-85269.57,43406.89,13379.84,-81404.65,-41730.79,41182.58,-52137.57,52875.14,22422,20,2
83,32,7062,205,33,25408.05,58744.65,86162.24,16641.1,-15657.91,39924.63,30462.11,-74558.24,60813,23,4
83,35,7063,201,20,53271.75,20214.51,-57206.28,-10654.18,-17352.82,13340.94,13317.08,-18220.93,93014,20,7
21,91,7064,200,39,68001.25,-25134.22,-78151.28,-25172.68,39148.81,-91653.8,86159.36,-67291.94,42313,21,9
62,89,7065,211,55,70072.72,-5908.9,-43645.68,-91816.8,-26872.74,-47420.34,-64057.97,-418.18,22020,23,9
42,43,7066,217,93,47115.77,29733.99,21415.41,36525.01,-52262.83,44019.23,-26543.32,95972.36,100914,23,9
22,2,7067,206,33,-85453,-72159.1,-57007.84,8613.56,12600.75,-19299.58,80015.05,-38129.07,111119,21,8
83,47,7068,212,47,-93753.15,14699.02,88936.96,34985.38,50427.09,-32118.62,45964.04,-6004.82,11420,22,6
62,99,7069,209,47,-91734.99,13053.96,32416.87,-26823.8,22217,-99996.86,-16846.22,76328.5,73121,22,8
61,37,7070,213,12,68458.52,35049.45,31902.25,-31352.35,14875.89,62750.11,-66385.51,-87517.57,120120,20,9
22,9,7071,203,43,-44397.56,-29995.11,-20401.55,78079.58,-9471.61,86720.56,78877.38,7015.43,60514,20,4
42,59,7072,208,88,84796.17,4106.53,75425.04,-70711.65,-86855.39,53584.65,-4744.64,6426.95,50122,21,6
42,61,7073,212,33,-67232.08,66017.75,79757.57,-49647.37,7431.45,-23915,97406,19442.96,100519,20,2
63,12,7074,213,10,-6165.42,-25972.03,-80199.03,74095.46,-7057.02,14086.56,69981.79,98849.21,102916,22,2
22,16,7075,209,17,-27324.72,90250.68,67952.78,-45443.23,77748.27,-92458.83,-1150.61,-41939.61,100121,21,8
63,14,7076,214,94,-78865.03,-96673.56,77594.81,69837.72,63218.27,86906.03,-68117.82,7307.51,102919,21,5
42,67,7077,218,36,74674.27,2857.37,-40407.23,-43774.06,-61050.54,93322.22,-70047.87,-60801.87,122015,22,3
83,66,7078,218,14,2746.59,-44475.24,58850.34,79874.62,67654.78,-93251.25,-58923.47,-8997.96,91615,22,5
63,19,7079,203,61,-31655.68,9076.53,73379.35,-88262.1,-34907.81,63871.1,89646.62,-71867.27,42916,23,5
83,67,7080,206,88,-63382.42,-44996.17,-61627.62,-57361.99,58186.16,82279.84,-78129.97,83448.02,71313,22,6
22,25,7081,211,90,-70844.55,-3970.97,30519.55,-63662.76,-74059.46,-52917.35,69747.92,-70725.25,110820,20,9
63,25,7082,215,45,41448.54,-86167.33,-13339.2,42852.21,54562.04,13496.19,-84304.21,-52481.59,31720,21,4
63,26,7083,216,37,82212.7,69247.55,-81019.31,-6786.38,-45757.29,-19158.75,-50373.17,-6921.08,121815,22,6
42,78,7084,205,27,35312.23,70992.67,90721.39,-76794.26,-69522.7,9887.66,42717.47,80734.22,10719,20,7
22,37,7085,219,28,-26050.62,-81386.97,-89970.1,-21538.37,31635.22,92993.55,-10749.61,53084.14,122316,20,4
42,85,7086,212,29,69613.55,12099.07,55731.25,-33504.22,-22114.46,3394.03,-12343.29,30485.33,82315,20,4
42,91,7087,207,96,-61537.85,33818.24,86257.56,12416.91,-14200.02,96692.51,-6165.12,54469.2,21017,22,6
