GL-CNTRL-KEY,RCRD-CNT,DTE-LST-RGSTRCT
0,20000,11413
1,20001,21721
1,20002,11518
1,20003,51915
1,20004,122915
0,20005,21513
1,20006,61920
1,20007,112815
1,20008,111313
0,20009,71820
0,20010,31014
0,20011,71821
1,20012,72318
1,20013,111621
0,20014,32717
1,20015,81115
0,20016,50813
0,20017,92920
0,20018,21519
1,20019,81220
0,20020,70918
0,20021,120518
1,20022,120219
1,20023,42614
0,20024,21220
1,20025,60118
1,20026,41813
0,20027,110416
0,20028,80922
0,20029,52817
0,20030,42814
0,20031,50514
0,20032,101415
1,20033,12215
1,20034,120220
1,20035,122314
0,20036,63021
1,20037,92922
0,20038,42622
1,20039,111616
1,20040,51218
1,20041,110715
1,20042,92114
1,20043,91015
1,20044,71121
0,20045,51217
0,20046,73013
0,20047,103017
0,20048,72714
0,20049,101213
1,20050,62515
0,20051,32817
0,20052,61116
0,20053,60318
1,20054,10919
1,20055,110413
0,20056,90519
1,20057,31713
1,20058,62222
1,20059,72017
1,20060,101320
1,20061,22422
0,20062,60813
1,20063,93014
0,20064,42313
0,20065,22020
1,20066,100914
0,20067,111119
0,20068,11420
0,20069,73121
1,20070,120120
0,20071,60514
0,20072,50122
0,20073,100519
1,20074,102916
1,20075,100121
0,20076,102919
0,20077,122015
1,20078,91615
0,20079,42916
1,20080,71313
0,20081,110820
0,20082,31720
1,20083,121815
1,20084,10719
1,20085,122316
0,20086,82315
1,20087,21017
0,20088,70520
1,20089,72113
1,20090,121216
0,20091,52119
0,20092,92617
1,20093,31222
1,20094,121417
1,20095,50715
0,20096,71114
1,20097,52713
0,20098,52113
0,20099,83020
1,20100,32021
1,20101,72019
0,20102,72515
1,20103,51514
1,20104,50221
1,20105,121614
1,20106,40414
1,20107,53122
1,20108,22315
1,20109,112416
0,20110,52421
1,20111,53014
0,20112,42119
1,20113,60216
0,20114,72021
0,20115,111722
0,20116,90913
0,20117,10816
1,20118,120418
1,20119,102016
1,20120,113017
0,20121,80718
0,20122,50818
1,20123,22515
0,20124,33119
0,20125,122715
0,20126,21718
0,20127,61519
1,20128,30321
0,20129,20321
0,20130,91416
1,20131,112013
1,20132,32014
1,20133,112216
0,20134,52219
1,20135,31613
1,20136,62414
0,20137,71720
1,20138,111117
0,20139,93020
0,20140,71321
0,20141,101116
1,20142,10413
0,20143,42016
1,20144,72016
0,20145,32419
0,20146,70416
1,20147,81122
1,20148,61718
1,20149,110818
1,20150,60918
0,20151,82717
1,20152,21621
0,20153,22216
1,20154,50922
0,20155,82621
0,20156,32120
0,20157,41117
0,20158,91716
1,20159,22013
1,20160,101013
0,20161,42813
0,20162,92019
0,20163,82321
0,20164,42113
0,20165,101914
1,20166,92221
0,20167,111419
1,20168,51720
0,20169,82920
1,20170,111819
0,20171,81717
1,20172,50521
1,20173,101917
1,20174,61913
0,20175,91317
0,20176,82618
0,20177,81121
0,20178,40914
1,20179,93022
0,20180,10116
1,20181,53118
1,20182,82014
0,20183,20320
0,20184,32313
0,20185,73116
0,20186,91620
0,20187,40714
0,20188,92622
1,20189,101016
0,20190,92715
0,20191,102318
0,20192,80418
1,20193,40115
1,20194,53019
0,20195,123016
0,20196,112914
0,20197,22021
1,20198,60616
0,20199,52015
1,20200,11522
0,20201,71517
1,20202,91014
0,20203,30116
1,20204,90521
1,20205,50216
0,20206,92815
1,20207,122714
0,20208,32015
0,20209,72620
0,20210,101214
1,20211,71714
0,20212,60419
0,20213,62322
1,20214,82118
0,20215,120322
1,20216,52621
0,20217,10213
0,20218,100118
1,20219,31314
1,20220,70317
0,20221,50116
1,20222,11316
1,20223,121016
0,20224,41120
1,20225,90422
1,20226,11320
0,20227,70618
1,20228,101017
1,20229,72121
1,20230,110116
1,20231,21120
1,20232,31821
0,20233,90713
1,20234,50214
1,20235,123115
0,20236,31620
0,20237,102915
1,20238,70319
1,20239,50217
1,20240,91516
0,20241,52514
1,20242,42518
0,20243,100716
1,20244,81619
1,20245,102613
1,20246,51119
0,20247,71016
1,20248,72418
0,20249,50622
0,20250,82818
1,20251,71322
1,20252,51815
0,20253,11221
0,20254,32122
1,20255,30819
1,20256,60917
1,20257,12015
1,20258,31214
0,20259,90717
0,20260,22316
0,20261,112422
1,20262,122914
1,20263,72114
0,20264,41014
0,20265,12221
0,20266,102321
1,20267,30913
1,20268,41815
1,20269,123116
0,20270,31514
0,20271,120913
0,20272,81119
0,20273,92519
1,20274,22616
0,20275,112721
0,20276,92915
1,20277,91013
0,20278,31421
0,20279,100821
1,20280,81020
1,20281,51917
1,20282,101117
1,20283,112819
0,20284,100915
0,20285,91618
0,20286,82515
1,20287,50321
1,20288,120414
1,20289,91815
1,20290,91314
1,20291,91215
1,20292,62218
0,20293,52916
0,20294,72616
1,20295,10113
1,20296,120320
0,20297,110521
1,20298,21121
1,20299,100122
0,20300,53013
0,20301,70922
0,20302,51715
0,20303,70420
0,20304,62714
0,20305,92420
1,20306,111522
0,20307,20114
0,20308,12621
1,20309,61522
0,20310,81915
1,20311,120115
0,20312,100315
0,20313,121117
0,20314,102120
1,20315,92618
1,20316,110513
1,20317,121518
1,20318,81814
0,20319,102416
1,20320,61416
1,20321,60720
1,20322,91921
1,20323,30114
1,20324,51413
0,20325,82521
0,20326,70119
0,20327,70617
1,20328,102917
1,20329,82318
0,20330,120718
0,20331,81918
0,20332,42615
1,20333,30918
0,20334,11620
0,20335,101819
1,20336,22519
1,20337,72118
0,20338,102514
0,20339,60117
0,20340,110118
1,20341,70517
0,20342,81016
1,20343,31413
0,20344,21318
1,20345,113022
1,20346,100416
1,20347,20913
0,20348,52221
1,20349,11318
1,20350,121321
0,20351,80417
0,20352,80721
1,20353,111214
1,20354,61513
0,20355,51013
0,20356,42914
0,20357,110217
0,20358,121821
0,20359,32713
1,20360,10417
1,20361,12213
0,20362,22115
1,20363,40615
1,20364,21920
0,20365,61819
0,20366,120921
1,20367,110822
1,20368,61413
1,20369,110813
0,20370,100622
0,20371,72119
0,20372,11515
0,20373,43020
0,20374,20915
0,20375,111918
0,20376,72922
0,20377,50817
0,20378,82821
1,20379,52116
1,20380,51321
0,20381,100522
0,20382,11314
1,20383,102718
1,20384,33122
0,20385,43016
0,20386,122219
0,20387,102521
0,20388,40817
0,20389,82713
0,20390,62313
0,20391,22116
1,20392,60618
0,20393,100316
0,20394,51716
1,20395,91919
1,20396,100220
1,20397,21322
0,20398,30620
0,20399,71220
1,20400,71221
1,20401,53021
1,20402,62615
1,20403,80819
1,20404,121921
1,20405,70421
0,20406,30619
1,20407,91115
1,20408,122018
0,20409,92216
0,20410,93013
0,20411,81520
0,20412,31013
0,20413,110214
0,20414,50819
1,20415,111115
1,20416,62920
1,20417,110117
1,20418,50517
0,20419,32215
0,20420,122616
1,20421,73115
0,20422,123014
0,20423,123119
0,20424,41415
1,20425,12419
1,20426,61213
1,20427,101218
1,20428,111321
0,20429,90513
1,20430,90814
1,20431,82216
0,20432,53117
1,20433,82422
1,20434,11818
1,20435,21319
0,20436,40819
1,20437,92713
1,20438,31218
1,20439,82120
0,20440,52819
0,20441,120820
1,20442,31714
1,20443,21113
0,20444,110622
0,20445,80116
0,20446,70920
1,20447,80522
0,20448,42114
1,20449,51222
0,20450,22222
0,20451,11715
1,20452,80617
0,20453,90618
0,20454,52318
0,20455,42221
1,20456,110821
0,20457,121514
1,20458,21813
0,20459,81720
1,20460,50318
0,20461,73122
0,20462,81818
0,20463,121213
0,20464,111413
0,20465,112214
1,20466,61919
1,20467,100113
0,20468,60113
0,20469,62518
1,20470,71213
1,20471,11516
0,20472,12114
1,20473,81316
1,20474,63013
1,20475,102616
0,20476,30314
0,20477,42818
1,20478,102419
1,20479,52018
1,20480,22117
1,20481,41420
0,20482,31213
0,20483,40117
0,20484,12615
1,20485,61515
1,20486,100913
0,20487,80118
1,20488,110916
1,20489,112421
0,20490,10917
0,20491,12017
1,20492,111821
0,20493,40718
0,20494,10218
0,20495,121413
1,20496,120613
0,20497,41517
0,20498,121618
0,20499,31522
0,20500,70220
0,20501,121822
1,20502,61720
1,20503,120817
1,20504,82221
0,20505,102317
0,20506,41714
0,20507,70813
1,20508,110719
0,20509,41818
1,20510,71422
1,20511,11814
0,20512,21522
1,20513,10314
0,20514,121915
1,20515,40619
0,20516,121217
0,20517,42216
1,20518,43021
0,20519,100215
1,20520,42617
0,20521,51520
0,20522,50315
0,20523,93019
0,20524,61315
0,20525,122419
0,20526,120413
0,20527,11120
0,20528,103119
1,20529,31313
0,20530,21918
0,20531,12516
0,20532,20421
0,20533,21717
1,20534,81722
1,20535,10514
0,20536,90516
1,20537,10722
0,20538,111220
1,20539,32614
1,20540,20521
1,20541,111814
0,20542,10321
0,20543,21818
0,20544,102617
1,20545,102019
0,20546,70819
0,20547,40121
1,20548,101719
1,20549,31417
1,20550,102117
0,20551,30822
0,20552,33114
1,20553,82616
0,20554,72519
0,20555,21217
1,20556,11418
0,20557,82122
0,20558,52614
0,20559,90818
1,20560,122822
1,20561,122114
1,20562,52413
0,20563,81221
0,20564,21615
1,20565,101516
0,20566,21416
1,20567,91116
0,20568,42215
1,20569,111316
0,20570,62815
1,20571,43015
0,20572,32213
0,20573,32513
1,20574,71018
0,20575,60517
0,20576,60522
1,20577,61020
0,20578,81215
1,20579,82314
0,20580,51920
1,20581,91814
1,20582,60418
1,20583,80713
0,20584,71519
0,20585,122022
0,20586,92817
0,20587,102615
0,20588,11016
1,20589,50522
1,20590,122214
1,20591,72618
1,20592,42115
0,20593,91619
1,20594,33115
1,20595,42120
1,20596,22916
0,20597,100414
1,20598,22018
