APROPTN-CDE,MAJ-CLS,OBJ-CLSFCTN-CDE,FY-ACCTG,ACCT-TYP-CDE,MULTI-ELMT-CDE,OK-TO-PROC-CDE,APRTNMTS-CUR-DTL,ALTMT-CUR,APRTNMT-TYP,ALTMT-TYP,PRD-CDE,APRTNMTS-1ST-ACCTG-PRD,APRTNMTS-2ND-ACCTG-PRD,APRTNMTS-3RD-ACCTG-PRD,APRTNMTS-4TH-ACCTG-PRD
28,15,65,91,6,9,5,70263.97,84693.53,1,6,8,75034.43,36195.2,-29494.5,-18960.52
75,60,54,49,2,6,8,-15109.58,38787.54,1,1,7,15417.58,97483.51,-39924.95,-94485.9
46,72,58,58,3,5,7,92021.16,14945.12,8,7,3,-13450.85,14372.69,-53757.66,-93310.48
59,69,30,22,5,8,1,-73402.29,6629.04,7,5,3,11240.33,-17683.87,-6462.22,68606.18
78,96,32,76,2,7,7,19387.36,71063.04,3,5,3,63907.78,-69549.35,99801.49,97641.34
36,88,21,78,2,1,5,-47345.16,18782.49,3,1,7,-7716.74,-60805.83,11239.22,48511.45
82,72,67,41,8,7,4,50008.01,14488.26,3,3,4,64645.14,-81865.78,62731.75,-73945.57
40,50,59,70,9,5,9,-27359.76,-72964.71,7,7,1,8492.08,-23041.12,-1054.81,-46306.86
51,85,43,46,2,4,5,-38052.87,-68832.65,4,8,4,-21894.2,-77686.73,14384.96,81318.67
25,58,95,10,9,9,7,33756.81,-84729.86,1,3,2,-92172.67,-18490.76,-61659.68,17421.49
15,39,96,88,6,5,5,5154.28,-63940.54,4,2,8,-83752.82,13821.99,-43869.8,65675.14
81,69,96,98,8,7,7,53827.89,-38800.63,2,9,2,72539.79,14811.01,-67241.69,-96316.91
84,47,96,20,2,5,7,-28956.87,59161.46,8,8,1,-65284.08,-81136.48,84849.31,68967.3
13,39,44,32,1,7,5,64103.14,-22957.19,2,6,8,-37148.52,-19459.79,81152.89,28231.44
21,73,22,84,6,7,5,63086.38,48628.72,1,7,2,79665.36,36572.44,1617.42,48929.56
32,66,30,43,2,5,8,-83410.41,-41311.5,8,3,2,93631.49,-7908.32,-5684.81,4678
32,73,74,89,9,5,5,28192.87,43128.37,2,8,1,-60975.94,85246.33,19576.68,-4495.92
31,61,11,41,5,8,8,54190.49,79951.86,2,5,8,-69515.02,3700.41,34084.96,39216.98
69,84,55,25,6,5,7,4045.8,-16946.18,1,8,8,-1212.41,26068.85,89744.2,-59727.92
27,47,94,11,4,8,6,17568.11,44189.19,8,3,5,-76797.78,-63445,23089.36,10372.04
78,40,30,87,8,7,6,77303.62,-40513.39,8,3,1,68938.43,-50483.99,-63634.41,40207.66
24,72,99,41,2,6,5,-86021.65,-9021.42,5,6,6,45652.98,24206.02,-20900.62,37214.7
27,57,59,53,4,6,2,67725.97,-86866.88,1,3,3,7688.48,-80473.57,14792.51,-30349.52
32,94,24,88,8,5,6,48963.02,15796.14,6,4,3,-78933.71,32125.81,5904.13,-62266.24
28,54,64,79,3,2,4,23487.7,-77595.51,3,4,7,-57613.43,33774.79,-1992.27,-24363.93
98,31,71,13,4,6,9,-66115.63,-43957.62,3,5,3,-98649.71,31959.46,802.86,91133.05
68,42,83,74,9,4,2,33276.67,42229.95,7,8,5,-33494.98,49262.61,98726.95,-58361.27
40,63,78,69,4,9,2,3146.94,-8026.18,3,1,9,-26595.23,-55779.05,47765.41,97041.63
86,53,26,45,3,2,3,1337.57,57867.79,5,4,7,-72546.45,-19673.03,-97456.95,-22222.42
40,81,63,32,4,2,1,4982.42,-43311.45,9,2,7,24346.35,4205.87,7783.43,32055.41
52,55,75,66,1,3,4,-65301.09,97535.36,7,6,3,29128.46,72965.39,14093.07,97473.01
17,61,40,81,4,1,6,72775.05,84352.39,7,7,1,-58706.56,-78422.19,-80035.41,-69060.09
71,19,57,90,2,4,3,73348.04,-55370.85,3,3,9,77344.1,64280.52,7636.71,-85377.83
27,99,89,36,6,6,4,43085.58,-10354.99,1,1,7,-1523.9,22522.04,-55164,-32348.59
12,44,33,51,2,3,5,76754.8,-94468.1,9,8,5,590.17,30868.97,-90482.46,3848.3
82,30,14,12,3,4,5,18417.37,61573.42,7,4,1,-76894.3,-85896.12,-82021.97,19078.1
16,68,30,68,9,5,4,-38319.07,35657.85,5,6,8,-90234.84,14407.57,-54060.7,51491.56
52,45,24,89,2,5,8,-71664.28,-10294.12,1,3,1,40550.16,-4223.54,-31462.12,71125.83
51,31,80,61,6,4,3,-86998.6,92067.39,8,9,6,-51942.83,-58630.45,-20561.55,60229.38
80,88,80,96,3,8,3,54690.15,-61772.32,1,3,3,-98144.5,19847.29,-65903.41,39536.33
18,28,26,67,3,3,8,52357.62,52835.49,6,1,9,-47969.54,-89759.46,45657.98,-45279.05
41,44,21,49,2,3,9,-980.35,-1008.13,3,8,3,55168.34,-51261.63,95476.74,45079.83
27,30,67,13,9,8,1,-61601.4,-85279.54,9,7,8,72452.11,94361.17,82489.96,26026.77
84,95,68,16,4,9,2,73843.61,28276.47,3,5,7,-89241.65,10287.72,-45665.57,-24085.28
78,16,79,66,6,1,8,-14954.93,52000.1,8,1,5,-94413.38,-97761.38,52661.09,41053.84
98,61,51,33,2,2,8,-45896.93,-558.2,7,4,5,-99374.91,28101.46,87781.11,59265.88
83,65,76,78,2,8,5,45476.73,-64057.78,5,7,9,-387.48,76351.25,-52497.03,43976.39
64,77,95,43,5,8,8,5887.03,47028.33,5,8,3,-48022.29,75566.96,-61209.8,42477.54
61,77,93,21,7,5,8,13270.6,-60485.03,9,6,5,78421.47,-70891.02,35488.57,89074.09
87,57,40,18,7,8,5,-8165.62,37299.09,3,3,6,19058.15,45911.11,95860.57,-15848.1
95,14,16,71,6,8,5,-7147.94,90217.74,5,6,1,-53047.71,-87366.91,82570.08,77294.9
13,17,28,60,1,5,5,-37387.9,-62589.26,6,2,6,-63891.35,10002.15,-76445.62,-33669.31
44,33,84,36,8,5,8,3611.52,-60031.34,1,6,8,-64991.3,-32461.05,45501.39,-16360.49
59,45,42,76,8,5,5,-39364.8,-10599.09,6,9,7,40477.01,-56434.27,72128.68,-46698.38
75,55,94,81,5,8,7,57988.64,-59892.91,8,5,3,92634.06,-35950.22,88068.35,-50071.11
31,76,42,69,1,5,9,-23615.83,-28371.82,7,7,9,-77207.61,28908.91,-89463.25,40548.91
63,66,55,51,6,7,8,-89090.24,32470.17,3,8,4,-29128.82,-55946.06,72940.34,50957.04
41,18,13,31,1,9,4,-54201.25,-23996.84,9,2,6,60997.09,-74214.43,52809.09,48719.86
47,42,25,56,9,8,9,95058.89,-7351.55,4,1,3,51133.61,-6721.15,-39232.9,30949.23
45,88,28,66,8,4,8,-58564.28,29914.93,6,8,7,-89267.55,45004.28,-68624.84,-55633.55
59,32,20,45,3,9,3,5151.32,52716.38,3,7,5,1353.14,-95463.7,7745.17,46568.54
87,12,93,72,2,8,8,-75388.42,79544.09,7,2,1,-18735.38,-45550.58,42004.43,-47943.24
