ALTMT,ALTMT-1ST-ACCTG-PRD,ALTMT-2ND-ACCTG-PRD,ALTMT-3RD-ACCTG-PRD,ALTMT-4TH-ACCTG-PRD
-78592.37,41392.75,-23927.17,77241.82,-59846.93
98741.33,-50089.09,79216.15,-81293.87,-43423.31
-74737.17,-33271.74,59415.04,-80926.39,40167.33
98070.99,-57770,18690.51,-16757,77254.03
-32098.4,-75501.34,-13216.74,7890.84,-66763.32
-29867.76,-11149.53,18622.22,52029.09,-23741.17
33083.58,62465.38,74395.68,77151.69,-80154.21
-95386.19,39936.82,-8715.63,68507.11,14342.64
43486.24,36948.26,-54478.17,89715.87,31083.8
-94322.22,43457.94,-99076.47,-61149.75,-7851.16
-75620.51,-35946.6,-30480.99,-533.27,73086.94
-81535.7,75746.5,-75673.98,59395.94,87006.94
55069.52,-91876.6,82046.5,63740.07,-9231.29
65086.2,-35575.8,-23762.86,90225.07,9054.4
-35136.53,-51803.46,-71351.26,59704.22,33488.05
-5143.05,-64162.51,64515.64,6105.57,68519.9
-31.18,88816.53,-74302.31,-97646.22,-57426.12
-43555.39,6483.92,68624.31,22596.58,61877.93
-23312.4,-87594.63,-62249.62,97363.55,-11125.93
-53031.84,30396.57,-73652.79,82375.51,62215.97
18877.2,45829.03,37808.98,40881.64,58228.32
-31816.88,6557.63,31671.76,19517.72,-44687.42
24991.93,7069.25,66703.81,1065.44,44587.26
13428.06,-62773.26,-40143.82,73705.12,93694.57
-61742.74,72837.14,-30067.09,87916.62,-8114.45
20363.74,60737.94,50806.76,91263.65,71344.1
-47456.99,3124.68,34617.54,80630.32,-96991.51
90595.57,61385.48,1442.38,-99223,57305.16
39483.66,-10973.39,32779.25,47720.95,38101.5
-46511.69,91339.95,-972.8,-22228.28,79750.04
-21542.29,-94859.2,-80280.26,-28850.73,-37433.69
22069.61,-71003,-1713.16,-42206.59,47356.43
-39431.49,-6329.79,18410.83,45268.11,51938.05
-57227.43,38837.51,-98581.48,-47648.35,92480.55
-57690.87,-66840.7,-36372.1,58361.61,-65255.56
-84810.11,-32220.09,-35972.49,-26071.14,36049.45
-43804.24,-20319.16,-91395.08,45704.12,-38515.27
66709.28,-35852.63,58466.89,77745.76,-22735.57
75028.72,-25868.08,-69491.86,-77551.44,28565.2
-30447.49,-21255.48,-22653.62,77776.84,96518.26
-31466.49,-2330.39,12056.92,-26586.49,77237.72
-71282.69,-20665.33,-2379.25,-75227.73,22030.78
-7916.2,8435.43,88556.38,39310.36,19424.74
58579.88,-83571.49,51376.26,-90227.7,-61274.92
88437.12,62630.09,63666.29,65265.56,12589.5
-1560.55,823.86,-35230.66,10427.56,-33098.11
-49223.82,-77591.46,-36368.52,-50403.34,-10128.3
-91176.6,-33670.9,63833.3,-4799.65,4805.9
-39121.03,-84326.22,-97212.84,52701.39,62173.04
73417.44,-92372.28,47013.54,69094.75,40606
-56926.91,48723.16,-67618.77,69388.75,50901.39
76770.06,-35859.08,-62017.8,-48812.62,-54480.53
-93701.49,-44929.69,44984.93,32580.69,-12180.92
51069.47,10912.65,-98186.86,92720.12,10681.52
17713.63,-74583.66,-26615.02,-4267.74,27780.62
-26581.63,-61148.74,-24884.15,67823.56,-88143.26
-65902.69,-4387.09,-53461,50014.43,-79091.04
55208.32,-35894.06,-37899.83,97337.71,86859.39
39006.57,56419.28,63331.7,-28289.25,-52099.95
39048.2,-88458.4,-9347.13,-68580.05,73621.86
-65260.47,-44411.69,-33715.31,-79998.94,78861.64
42130.05,83284.24,54450.37,37020.32,-84724
86198.67,-61801.62,85315.85,11591.43,59330.77
-53413.55,-25840.7,-32371.32,44340.09,40510.28
40285.1,-84892.78,-50265.48,-57217.34,-66044.73
41933.35,-14476.36,88281.3,-77387.43,95994.01
-82014.9,72025.77,60711.98,56211.52,-53906.44
84181.84,-89266.13,-6670.5,56336.2,62172.62
-79596.67,-66229.83,-8615.37,33419.49,90186.38
-76720.54,18341.43,28730.88,26900.19,-30746.46
-31483.57,-32124.37,-91825.47,-45747.05,-67891.48
79645.72,-64910.78,-79166.22,-35488.45,-73447.14
-2844.4,24248.08,-57304.93,97069.77,-76682.47
-84914.71,-28083.66,4615.68,96393.25,-2136.16
36563.97,-89315.45,20056.4,11696.7,1960.78
71949.45,-64970.44,-64998,62886.73,-4367.29
-12636.62,-60512.01,59686.4,-85278.4,76029.01
-68097.22,-63119.07,1537.18,-67480.89,48280.44
-9983.71,89552.16,-80614.76,82906.41,-77030.2
-45226,31123.96,-98019.9,25787.24,-57580.81
3508.1,-27049.5,51427.52,-78437.37,-13276.31
-31470.47,-54081.07,57035.1,55575.76,-1269.38
22930.72,91446.87,83695.28,-17242.73,81573.74
25571.95,9732.12,-89371.72,36613.34,-4884.56
78241.53,-35736.06,46236.5,-23326.84,-26103.26
-33872.18,-81477.75,-68517.06,48989.25,15259.09
52153.97,-97326.6,-28857.47,-27847.62,37663.55
74901.95,2238.15,-32773.37,55679.56,-42261.13
-23908.73,59319.41,-96438.35,-96899.78,15378.43
72576.08,-34740.17,-22412.45,87167.2,63160.75
54563.16,44454.61,-22618.32,52741.07,-7630.96
97269.81,66474.35,-42251.74,-12971.63,72727.95
-25198.79,-91260.6,-80147.61,-33214.02,-70639.64
-17350.96,-85302.15,-82964.76,42056.85,76303.25
-42766.83,26981.76,65714.72,64400.71,-88902.11
40859.79,-93157.31,-99564.22,-67916.79,14634.01
-39640.48,71099.09,-57613.88,83643.4,52973.51
-60112.45,58953.83,-80602.28,41227.96,34095.3
30859.21,2497.38,-35880.22,-79956.21,36584.08
18673.09,-71749.12,-94206.42,-34541.91,89968.36
-70407.17,22651.39,66382.5,65892.06,18267.18
59456.54,-21522.44,-5026.12,3713.13,50295.5
-86764.16,63499.88,2935.51,-75573.59,-25847.12
99084.33,76812.48,-65453.91,-56422.02,-23138.37
40310.11,-24550.27,34666.66,6518.43,95252.28
93248.08,-91860.45,65958.29,-85418.04,96301.17
-5567.82,60976.27,-91030.39,36565.67,48592.9
12251.37,-93056.18,29190.81,-40227.9,-38212.44
-97406.6,57371.39,-67767.68,68427.58,26548.02
70105.44,75466.05,37341.27,-79861.61,19213.73
-10702.77,24666.58,83661.6,-71659.24,-71465.68
73538.21,-30996.64,30704.99,-49560.18,55137.76
31713.01,79099.51,-49497.37,-33588.71,-76691.21
-32768.88,-63295.94,87018.52,-95164.88,27926.35
33730.14,23477.43,69271.05,79605.96,44645.25
15703.38,30120.6,-83768.27,29923.98,35861.81
-34794.31,15081.38,60507.45,46980.69,-83665.11
5689.69,8428.07,-83537.85,22961.73,73291.17
76585.1,81151.27,-55262.94,-43694.38,-54712.42
-37170.55,76160.47,-28437.06,-94931.11,44034.7
84929.55,-36137.07,33030.02,-83965.19,-19286.66
41338.6,10513.14,-9788.05,58228.85,-78207.64
22207.25,-6582.3,-33631.94,-91256.12,-94111.79
-98433.27,98042.49,-39625.4,16587.13,-82468.55
-90993.91,6702.46,-44729.89,-83688.45,84600.53
85342.81,-31269.38,36860.71,-14000.79,-25142
80451.61,-92324.54,-44786.87,-29662.57,69022.94
90953.42,-71815.03,60833.93,65388.45,75928.96
64597.23,58440.01,50508.04,-30597.66,61835.23
14897.62,-36931.84,-6825.72,19869.46,-17027.71
4241.06,86733.52,-67731.82,-19424.44,90294.65
76334.11,2837.62,-99883.2,46697.26,76044.21
71493.01,41560.31,68706.01,71876.94,-64258.48
92043.87,81969.66,50223.1,94849.24,-62908.29
55094.18,-62901.76,-44958.67,-83449.99,-70538.03
78562.81,94382.08,-80984.55,-91227.25,27478.17
43792.6,95930.1,16065.21,-57499.79,75960.11
-99867.16,-39501.91,34627.06,26066.22,-62769.16
80435.74,-64489.13,23223.84,29514.68,97665.46
-84391.76,-51633.47,62264.63,-71039.27,-17466.24
-11319.49,-37844.79,-90959.39,-91232.04,71784.63
36332.24,17690.19,86679.14,-22554.15,-82589.77
-11177.27,-73947.24,45837.28,-59885.08,85480.82
-89977.7,-38289.18,-64809.55,-95701.31,98579.02
-66789.52,-42484.78,-70871.59,73376.99,41506.91
-77725.42,52386.04,45508.56,2813.48,-68474.18
-77192.19,-58264.31,-3945.14,6373.79,-72916.09
-37071.45,60173.91,82189.48,45376,-96318.78
97492.86,193.84,-37731.37,-82412.12,56037.84
-37138.84,99198.57,-65819.61,33910.2,68311.62
-95802.2,51035.51,-28633.65,32692.08,-21950.39
84797.14,-91957.18,-81556.76,30193.1,-35576.6
-39439.4,-81187.54,-7382.05,89863.17,51173.14
75153.77,-99928.07,-97251.95,78063.04,-68582.84
93871.13,-45725.73,93751.27,12745.57,-19896.4
-40467.48,64346.63,-97412.42,-89108.77,-98791.25
-40121.94,35581.79,-65458.42,-33332.83,85320.35
89641.53,-89271.74,-90432.64,-78728.93,10526.89
-57615.9,11196.57,38611.86,-23555.69,87769.52
-50206.94,-56117.56,-87202.01,78320.98,-52607.95
-39296.85,-61577.37,7211.57,1835.86,38128.17
-54521.38,-40680.74,-80423.4,-96736.16,-57141.52
