SBMSN-CDE,PURP-CDE,OBLGNS-AMT-CUM,OBLGNS-CNT-CUM,VOU-AMT,PPB-CDE-1ST,PPB-CDE-2-3
6,8,-36461.1,872105,4573.92,2,97
5,3,34989.26,148816,39576.82,8,56
7,8,-41603.87,194592,39343.92,1,40
5,3,-38317.44,279382,90401.38,4,37
3,6,72840.05,422226,21742.21,9,46
3,6,-29085.83,996004,-90141.41,2,14
1,5,51924.13,332411,41661.06,5,21
8,3,68623.4,421220,-93061.61,6,98
4,4,-70449.71,791084,-75679.13,6,35
8,5,41415.78,632388,39465.19,6,30
4,2,52411.21,284511,56496.87,5,74
4,1,91815.37,611177,1009.27,3,38
9,1,35708.65,937139,-7902.03,5,94
9,1,-51411.25,150864,-70878.13,3,72
3,5,14265.39,488993,11676.12,6,94
5,3,57038.95,880031,16184.88,7,71
7,5,69468.21,112287,28992.4,2,39
2,7,-78538.28,266153,78919.99,5,30
2,5,40132.93,129951,57657.3,8,66
4,6,7779.57,729262,-80001.59,5,81
6,6,-92238.83,751222,-15808.21,3,40
3,1,38422.95,936244,46588.11,7,19
6,6,-76141.49,883344,-87162.09,9,96
7,6,54083.39,661659,23085.5,6,81
4,8,16438.9,645083,4333.27,1,71
1,8,-60574.59,303070,76507.28,1,18
7,7,46224.09,912221,71955.73,2,99
1,6,80967.62,783812,98063.06,8,61
5,5,-33371.41,705388,33721.77,7,17
6,7,80009.85,549878,-17592.63,6,25
2,7,37539.63,321991,81329.52,2,34
7,3,-16275.13,319822,-40623.21,2,77
1,7,-74018.88,595164,-91954.95,9,98
3,6,-54284.83,611059,42517.7,7,62
5,9,73994.76,726693,15220.27,2,73
5,6,7571.85,742467,76875.09,1,74
6,8,-3984.44,685739,-82582.49,8,29
1,6,59157.49,637395,9820.98,6,68
9,7,-67450.9,964185,95890.41,8,41
1,9,765.57,655738,-53857.11,1,95
5,6,3110.34,518597,40626.86,2,45
4,8,53100.13,544215,80692.87,4,20
6,5,-47966.54,748346,27664.87,2,85
5,8,21804.98,860823,94781.69,5,29
3,9,-86976.46,538601,-48899.89,9,49
7,2,-43191.49,513242,-62463.47,1,63
1,8,-47514.68,171871,-75149.49,5,74
5,2,16816.85,375331,-37125.52,9,20
6,4,-36299.48,863307,-11.22,7,43
7,2,4197.49,136324,-1293.37,7,33
4,7,-19588.08,713174,38852.2,4,21
3,8,-37827.82,559625,29608.86,9,14
9,6,61103.11,474908,-68429.88,3,75
1,8,-90738.45,398999,-48005.5,9,15
1,2,59420.88,796610,-97842.07,3,87
8,6,87750.79,935168,74933.3,5,72
1,7,3888.26,295037,43785.83,8,26
2,6,40898.66,802953,-7214.41,1,32
7,7,-15726.02,132155,82860.25,9,31
2,9,-6567.7,430024,74498,4,96
3,5,39833.91,216736,55971.83,8,27
